#SampleID	day	hour	vessel
D19Hr16V2	19	16	2
D18Hr16V8	18	16	8
D4HrNAV4	4	NA	4
D11Hr8V8	11	8	8
D18Hr8V8	18	8	8
D22Hr16V4	22	16	4
D21Hr16V3	21	16	3
D18Hr8V2	18	8	2
D25Hr16V4	25	16	4
D25Hr16V2	25	16	2
D30Hr16V2	30	16	2
D14Hr8V7	14	8	7
D10Hr8V2	10	8	2
D11Hr16V2	11	16	2
D11Hr8V2	11	8	2
D30Hr8V4	30	8	4
D1HrNAV6	1	NA	6
D11Hr16V7	11	16	7
D14Hr16V3	14	16	3
D17Hr8V2	17	8	2
D22Hr8V1	22	8	1
D24Hr16V7	24	16	7
D29Hr16V8	29	16	8
D17Hr8V8	17	8	8
D24Hr8V6	24	8	6
D30Hr8V2	30	8	2
D18Hr8V1	18	8	1
D21Hr16V2	21	16	2
D14Hr16V1	14	16	1
D25Hr16V8	25	16	8
D30Hr8V6	30	8	6
D3HrNAV4	3	NA	4
D29Hr8V1	29	8	1
D23Hr8V6	23	8	6
D15Hr16V1	15	16	1
D14Hr8V2	14	8	2
D3HrNAV6	3	NA	6
D25Hr8V6	25	8	6
D8HrNAV2	8	NA	2
D13Hr16V4	13	16	4
D7HrNAV6	7	NA	6
D28Hr8V8	28	8	8
D10Hr16V4	10	16	4
D16Hr16V8	16	16	8
D29Hr16V6	29	16	6
D30Hr8V1	30	8	1
D7HrNAV7	7	NA	7
D11Hr16V3	11	16	3
D22Hr8V4	22	8	4
D23Hr8V2	23	8	2
D14Hr8V3	14	8	3
D2HrNAV1	2	NA	1
D1HrNAV4	1	NA	4
D24Hr16V8	24	16	8
D2HrNAV8	2	NA	8
D21Hr8V8	21	8	8
D23Hr8V1	23	8	1
D16Hr16V4	16	16	4
D13Hr16V2	13	16	2
D22Hr16V3	22	16	3
D30Hr16V3	30	16	3
D23Hr8V7	23	8	7
D23Hr16V6	23	16	6
D15Hr16V6	15	16	6
D13Hr16V1	13	16	1
D8HrNAV6	8	NA	6
D17Hr16V8	17	16	8
D2HrNAV2	2	NA	2
D28Hr16V6	28	16	6
D29Hr8V8	29	8	8
D17Hr16V2	17	16	2
D22Hr8V8	22	8	8
D24Hr8V7	24	8	7
D29Hr16V4	29	16	4
D23Hr8V8	23	8	8
D28Hr8V1	28	8	1
D18Hr16V1	18	16	1
D24Hr8V3	24	8	3
D12Hr16V7	12	16	7
D28Hr8V2	28	8	2
D19Hr16V7	19	16	7
D13Hr16V8	13	16	8
D1HrNAV2	1	NA	2
D11Hr16V4	11	16	4
D15Hr8V7	15	8	7
D18Hr8V4	18	8	4
D19Hr16V6	19	16	6
D10Hr8V7	10	8	7
D12Hr16V1	12	16	1
D22Hr16V1	22	16	1
D10Hr16V7	10	16	7
D15Hr8V1	15	8	1
D4HrNAV1	4	NA	1
D20Hr16V1	20	16	1
D10Hr16V1	10	16	1
D7HrNAV1	7	NA	1
D29Hr16V1	29	16	1
D29Hr8V2	29	8	2
D22Hr8V6	22	8	6
D24Hr16V6	24	16	6
D21Hr8V7	21	8	7
D21Hr16V6	21	16	6
D21Hr8V4	21	8	4
D15Hr16V4	15	16	4
D17Hr16V6	17	16	6
D27Hr16V7	27	16	7
D15Hr8V3	15	8	3
D18Hr8V6	18	8	6
