SampleID,project,condition,treatment,in1,dex1,gos1,in2,dex2,gos2
GIJKM_106,jicama,con,con,0,0,0,0,0,0
GIJKM_107,jicama,con,con,0,0,0,0,0,0
GIJKM_108,jicama,con,con,0,0,0,0,0,0
GIJKM_109,jicama,con,in,0,0,0,1,0,0
GIJKM_110,jicama,con,in,0,0,0,1,0,0
GIJKM_111,jicama,con,in,0,0,0,1,0,0
GIJKM_112,jicama,in,in,1,0,0,1,0,0
GIJKM_113,jicama,in,in,1,0,0,1,0,0
GIJKM_114,jicama,in,in,1,0,0,1,0,0
GIJKM_115,jicama,con,gos,0,0,0,0,0,1
GIJKM_116,jicama,con,gos,0,0,0,0,0,1
GIJKM_117,jicama,con,gos,0,0,0,0,0,1
GIJKM_118,jicama,gos,gos,0,0,1,0,0,1
GIJKM_119,jicama,gos,gos,0,0,1,0,0,1
GIJKM_120,jicama,gos,gos,0,0,1,0,0,1
GIJKM_121,jicama,con,dex,0,0,0,0,1,0
GIJKM_122,jicama,con,dex,0,0,0,0,1,0
GIJKM_123,jicama,con,dex,0,0,0,0,1,0
GIJKM_124,jicama,dex,dex,0,1,0,0,1,0
GIJKM_125,jicama,dex,dex,0,1,0,0,1,0
GIJKM_126,jicama,dex,dex,0,1,0,0,1,0
GIJKM_127,jicama,in,dex,1,0,0,0,1,0
GIJKM_128,jicama,in,dex,1,0,0,0,1,0
GIJKM_129,jicama,in,dex,1,0,0,0,1,0
GIJKM_130,jicama,in,gos,1,0,0,0,0,1
GIJKM_131,jicama,in,gos,1,0,0,0,0,1
GIJKM_132,jicama,in,gos,1,0,0,0,0,1
GIJKM_133,jicama,in,con,1,0,0,0,0,0
GIJKM_134,jicama,in,con,1,0,0,0,0,0
GIJKM_135,jicama,in,con,1,0,0,0,0,0
GIJKM_136,jicama,gos,in,0,0,1,1,0,0
GIJKM_137,jicama,gos,in,0,0,1,1,0,0
GIJKM_138,jicama,gos,in,0,0,1,1,0,0
GIJKM_139,jicama,gos,dex,0,0,1,0,1,0
GIJKM_140,jicama,gos,dex,0,0,1,0,1,0
GIJKM_141,jicama,gos,dex,0,0,1,0,1,0
GIJKM_142,jicama,gos,con,0,0,1,0,0,0
GIJKM_143,jicama,gos,con,0,0,1,0,0,0
GIJKM_144,jicama,gos,con,0,0,1,0,0,0
GIJKM_145,jicama,dex,in,0,1,0,1,0,0
GIJKM_146,jicama,dex,in,0,1,0,1,0,0
GIJKM_147,jicama,dex,in,0,1,0,1,0,0
GIJKM_148,jicama,dex,gos,0,1,0,0,0,1
GIJKM_149,jicama,dex,gos,0,1,0,0,0,1
GIJKM_150,jicama,dex,gos,0,1,0,0,0,1
GIJKM_151,jicama,dex,con,0,1,0,0,0,0
GIJKM_152,jicama,dex,con,0,1,0,0,0,0
GIJKM_153,jicama,dex,con,0,1,0,0,0,0
