seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22	seq_23	seq_24	seq_25	seq_26	seq_27	seq_28	seq_29	seq_30	seq_31	seq_32	seq_33	seq_34	seq_35	seq_36	seq_37	seq_38	seq_39	seq_40	seq_41	seq_42	seq_43	seq_44	seq_45	seq_46	seq_47	seq_48	seq_49	seq_50	seq_51	seq_52	seq_53	seq_54	seq_55	seq_56	seq_57	seq_58	seq_59	seq_60	seq_61	seq_62	seq_63	seq_64	seq_65	seq_66	seq_67	seq_68	seq_69	seq_70	seq_71	seq_72	seq_73
GIJKM106	3350	2615	2498	677	72	47	90	444	9	190	270	191	473	251	236	86	69	104	167	48	208	135	28	151	0	0	0	63	43	15	13	42	16	30	0	0	8	0	0	29	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM107	2996	2043	2449	564	46	72	107	394	4	175	286	203	442	266	157	71	0	111	178	62	199	131	14	134	0	0	0	84	63	12	0	0	9	30	0	0	10	0	0	9	0	0	5	0	0	0	0	0	0	0	0	0	30	11	0	0	0	8	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
GIJKM108	5925	3763	4051	1041	101	91	142	573	7	244	335	339	800	436	253	124	74	200	267	72	298	193	47	243	0	0	0	122	100	18	28	63	52	55	0	0	17	0	0	23	0	0	18	0	13	0	0	7	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM109	16085	9221	10627	1677	1157	640	2938	1049	88	765	856	1081	1525	839	770	431	267	477	534	170	491	293	137	450	0	0	0	230	260	35	26	119	64	80	0	69	35	0	0	28	0	57	30	0	32	0	0	9	0	50	0	0	0	17	0	16	0	0	0	9	9	0	0	0	0	0	0	0	0	5	0	0	0
GIJKM110	4914	2743	3537	517	393	207	802	433	23	254	366	304	484	290	353	112	93	136	169	71	144	124	0	161	0	0	0	111	86	7	0	46	22	16	0	0	16	0	0	7	0	0	8	0	14	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM111	5282	3282	4659	626	392	254	880	408	20	290	430	308	564	319	472	138	89	134	175	64	238	167	0	192	0	0	0	110	95	8	8	47	35	33	0	0	16	0	0	11	0	0	6	0	11	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0
GIJKM112	4963	3217	995	1986	1528	4233	286	427	600	450	487	233	0	23	241	249	385	101	92	97	31	81	22	0	4	153	0	0	0	30	0	0	0	0	27	59	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM113	2972	1847	725	1073	869	2798	197	267	327	275	287	167	0	25	123	163	241	63	64	54	27	0	0	0	0	98	0	0	0	33	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM114	2550	1949	493	927	833	3443	236	272	340	271	324	114	0	27	148	154	211	75	59	75	0	80	10	0	7	132	0	0	0	19	0	0	0	0	20	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
GIJKM115	4037	2952	2630	749	716	156	641	331	28	197	212	199	449	252	224	84	148	101	137	50	166	80	16	123	0	0	0	55	55	8	10	25	32	25	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM116	3643	2623	2127	657	665	144	567	191	22	149	177	148	401	203	211	118	112	101	136	44	143	79	24	88	0	0	0	49	44	0	7	0	35	23	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM117	5187	2866	2990	661	802	150	740	268	27	179	196	233	514	230	233	94	140	103	146	56	203	111	28	116	0	0	0	79	76	0	0	0	55	25	0	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM118	3308	6550	86	2012	359	37	388	46	716	418	113	36	0	0	0	128	322	92	23	96	0	48	45	0	34	0	60	0	0	0	25	0	0	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM119	2989	6536	123	2205	357	22	382	53	943	352	81	22	0	0	25	101	399	88	16	108	9	0	56	0	56	0	133	0	0	0	39	0	0	0	12	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
GIJKM120	3650	7766	99	2530	398	30	476	57	1364	418	115	29	0	0	20	126	414	107	24	122	13	0	79	0	85	0	170	0	0	0	35	0	0	0	11	0	0	22	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM121	4573	2147	3427	536	160	42	406	559	12	216	282	293	518	272	225	110	52	110	171	57	204	113	37	165	0	0	0	113	103	20	0	38	27	27	0	0	8	0	0	17	0	0	8	0	0	12	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
