"day","hour","vessel","time","run","label","dsld","DP","conc","DPn","bin"
2,16,4,2.666666667,"Finn","Finn D2.16 V4",NA,"glucose",0.00844065853415184,1,"mono/di"
14,8,1,14.33333333,"Finn","Finn D14.8 V1",NA,"glucose",0.00785215234296312,1,"mono/di"
14,8,7,14.33333333,"Finn","Finn D14.8 V7",NA,"glucose",0.00848751774660684,1,"mono/di"
14,8,3,14.33333333,"Finn","Finn D14.8 V3",NA,"glucose",0.00780113830712625,1,"mono/di"
14,8,8,14.33333333,"Finn","Finn D14.8 V8",NA,"glucose",-0.00603520209917405,1,"mono/di"
14,8,2,14.33333333,"Finn","Finn D14.8 V2",NA,"glucose",-0.00603520209917405,1,"mono/di"
14,8,4,14.33333333,"Finn","Finn D14.8 V4",NA,"glucose",-0.00603520209917405,1,"mono/di"
14,8,6,14.33333333,"Finn","Finn D14.8 V6",NA,"glucose",-0.00603520209917405,1,"mono/di"
14,16,1,14.66666667,"Finn","Finn D14.16 V1","first dose","glucose",0.00892475038694153,1,"mono/di"
14,16,7,14.66666667,"Finn","Finn D14.16 V7","first dose","glucose",0.00794522028226527,1,"mono/di"
14,16,3,14.66666667,"Finn","Finn D14.16 V3","first dose","glucose",0.00793007782745459,1,"mono/di"
14,16,6,14.66666667,"Finn","Finn D14.16 V6","first dose","glucose",-0.00603520209917405,1,"mono/di"
14,16,4,14.66666667,"Finn","Finn D14.16 V4","first dose","glucose",-0.00603520209917405,1,"mono/di"
14,16,8,14.66666667,"Finn","Finn D14.16 V8","first dose","glucose",-0.00603520209917405,1,"mono/di"
14,16,2,14.66666667,"Finn","Finn D14.16 V2","first dose","glucose",-0.00603520209917405,1,"mono/di"
15,8,3,15.33333333,"Finn","Finn D15.8 V3",NA,"glucose",0.00961373307524323,1,"mono/di"
15,8,1,15.33333333,"Finn","Finn D15.8 V1",NA,"glucose",0.00844925442529375,1,"mono/di"
15,8,7,15.33333333,"Finn","Finn D15.8 V7",NA,"glucose",0.00881263212982193,1,"mono/di"
