time,nC,type,rep
2.000167,53.166501,mGAM,1
2.0085,50.065801,mGAM,1
2.016833,47.452151,mGAM,1
2.025167,45.163601,mGAM,1
2.0335,43.149451,mGAM,1
2.041833,41.446551,mGAM,1
2.050167,40.094101,mGAM,1
2.0585,38.959251,mGAM,1
2.066833,37.645501,mGAM,1
2.075167,35.792701,mGAM,1
2.0835,33.622301,mGAM,1
2.091833,31.7716,mGAM,1
2.100167,30.6137,mGAM,1
2.1085,30.04915,mGAM,1
2.116833,29.81935,mGAM,1
2.125167,29.75475,mGAM,1
2.1335,29.56545,mGAM,1
2.141833,29.5909,mGAM,1
2.150167,29.71905,mGAM,1
2.1585,29.8825,mGAM,1
2.166833,30.0673,mGAM,1
2.175167,30.2639,mGAM,1
2.1835,30.4679,mGAM,1
2.191833,30.6753,mGAM,1
2.200167,30.8683,mGAM,1
2.2085,31.0012,mGAM,1
2.216833,31.0169,mGAM,1
2.225167,30.8822,mGAM,1
2.2335,30.6595,mGAM,1
2.241833,30.52365,mGAM,1
2.250167,31.15505,mGAM,1
2.2585,34.741201,mGAM,1
2.266833,45.698851,mGAM,1
2.275167,68.879451,mGAM,1
2.2835,104.773302,mGAM,1
2.291833,146.442802,mGAM,1
2.300167,182.743153,mGAM,1
2.3085,204.814053,mGAM,1
2.316833,207.301853,mGAM,1
2.325167,189.391353,mGAM,1
2.3335,157.849952,mGAM,1
2.341833,124.485102,mGAM,1
2.350167,97.383801,mGAM,1
2.3585,78.024301,mGAM,1
2.366833,64.835251,mGAM,1
2.375167,56.106801,mGAM,1
2.3835,50.806951,mGAM,1
2.391833,48.544151,mGAM,1
2.400167,49.175251,mGAM,1
2.4085,52.132201,mGAM,1
2.416833,56.063001,mGAM,1
2.425167,59.440851,mGAM,1
2.4335,61.344751,mGAM,1
2.441833,61.671551,mGAM,1
2.450167,60.833001,mGAM,1
2.4585,59.347151,mGAM,1
2.466833,57.615201,mGAM,1
2.475167,55.865151,mGAM,1
2.4835,54.182851,mGAM,1
2.491833,52.553101,mGAM,1
2.500167,50.883201,mGAM,1
2.5085,49.026701,mGAM,1
2.516833,46.927201,mGAM,1
