"media","doses","DPn","conc"
"fresh",1,12,0.0345708742249981
"fresh",1,12,0.0379871438828986
"fresh",1,12,0.0362037748210626
"fresh",2,12,0.00571690441997942
"fresh",2,12,0.00512955592583589
"fresh",2,12,-0.0103438678016986
"conditioned",1,12,0.0816987715570683
"conditioned",1,12,0.0737768084581514
"conditioned",1,12,0.0962097206925475
"fresh",1,13,0.0355276027105887
"fresh",1,13,0.0352051416313191
"fresh",1,13,0.035836541262523
"fresh",2,13,-0.0122700344707081
"fresh",2,13,-0.0166787795190168
"fresh",2,13,-0.0167833495079274
"conditioned",1,13,0.0804095676511208
"conditioned",1,13,0.0687054349391639
"conditioned",1,13,0.0882907309310246
"fresh",1,14,0.0761536275135876
"fresh",1,14,0.0729390979180804
"fresh",1,14,0.0741401854749388
"fresh",2,14,0.0118154586864229
"fresh",2,14,0.00716347704569641
"fresh",2,14,0.00341199438579194
"conditioned",1,14,0.119601592717517
"conditioned",1,14,0.110498346208818
"conditioned",1,14,0.120063279458098
"fresh",1,16,-0.0881717692853852
"fresh",1,16,-0.099109804904147
"fresh",1,16,-0.0927741366571955
"fresh",2,16,-0.131690590769425
"fresh",2,16,-0.100692582721478
"fresh",2,16,-0.153577985535122
"conditioned",1,16,-0.023141554413364
"conditioned",1,16,-0.0338873266075916
"conditioned",1,16,-0.0704978155004819
"fresh",1,20,0.152046408071181
"fresh",1,20,0.151920984591014
"fresh",1,20,0.143789125081603
"fresh",2,20,0.112129067616619
"fresh",2,20,0.0867413035789538
"fresh",2,20,0.0890977620428405
"conditioned",1,20,0.17497922560687
"conditioned",1,20,0.162171612094184
"conditioned",1,20,0.158304022630001
"fresh",1,21,0.184563315369087
"fresh",1,21,0.112419452891451
"fresh",1,21,0.173373885049175
"fresh",2,21,0.111677110369746
"fresh",2,21,0.0694463921547978
"fresh",2,21,0.099761968944107
"conditioned",1,21,0.187140642397654
"conditioned",1,21,0.165786205199074
"conditioned",1,21,0.131504249783343
"fresh",1,22,0.190065267442181
"fresh",1,22,0.140690702973441
"fresh",1,22,0.180093282944832
"fresh",2,22,0.115176365857098
"fresh",2,22,0.131927273625682
"fresh",2,22,0.111768361725277
"conditioned",1,22,0.196451699012004
"conditioned",1,22,0.17622686412724
"conditioned",1,22,0.138209104046459
"fresh",1,25,0.122638610481574
"fresh",1,25,0.094328677413015
"fresh",1,25,0.112862206603895
"fresh",2,25,0.0639345449088559
"fresh",2,25,0.038724960227034
"fresh",2,25,0.0376472510870248
"conditioned",1,25,0.139602398766236
"conditioned",1,25,0.118618954429137
"conditioned",1,25,0.110749601937718
"fresh",1,30,0.14895911216726
"fresh",1,30,0.121422917838247
"fresh",1,30,0.141052172985937
"fresh",2,30,0.110234697407515
"fresh",2,30,0.0731449970326748
"fresh",2,30,0.0968409740913623
"conditioned",1,30,0.153884859095574
"conditioned",1,30,0.134841416878135
"conditioned",1,30,0.141780424875551
"fresh",1,48,0.0173283147489441
"fresh",1,48,0.0223900258010947
"fresh",1,48,0.0199380780750503
"fresh",2,48,0.00770537394327362
"fresh",2,48,0.0116482515626912
"fresh",2,48,0.00981317809890856
"conditioned",1,48,0.0268743851064775
"conditioned",1,48,0.0260379624261492
"conditioned",1,48,0.0277783781985773
"fresh",1,17,0.156121536684052
"fresh",1,17,0.143531557034945
"fresh",1,17,0.151870670573169
"fresh",2,17,0.116873620334412
"fresh",2,17,0.0976786830766415
"fresh",2,17,0.0871811340070882
"conditioned",1,17,0.194562292215794
"conditioned",1,17,0.186847590086217
"conditioned",1,17,0.168066089586946
"fresh",1,28,0.174961652196318
"fresh",1,28,0.135937487494713
"fresh",1,28,0.166748612643404
"fresh",2,28,0.124621138728989
"fresh",2,28,0.0926105724662559
"fresh",2,28,0.114418885191508
"conditioned",1,28,0.167024049058065
"conditioned",1,28,0.154194637470309
"conditioned",1,28,0.163629273986197
"fresh",1,11,0.0282737995455269
"fresh",1,11,0.0355739586239727
"fresh",1,11,0.0310142384109753
"fresh",2,11,0.0183062506954406
"fresh",2,11,0.0121926432486839
"fresh",2,11,0
"conditioned",1,11,0.0708908942225069
"conditioned",1,11,0.0683636489262124
"conditioned",1,11,0.0909511359988489
"fresh",1,15,0.139022601719653
"fresh",1,15,0.125640746669967
"fresh",1,15,0.135702372618899
"fresh",2,15,0.0708324971723704
"fresh",2,15,0.0631265370124893
"fresh",2,15,0.0644619405937673
"conditioned",1,15,0.172719656364979
"conditioned",1,15,0.166072099495219
"conditioned",1,15,0.163107247030109
"fresh",1,18,0.15020751582929
"fresh",1,18,0.138060866063515
"fresh",1,18,0.144101603872329
"fresh",2,18,0.116486681818005
"fresh",2,18,0.0997824864220835
"fresh",2,18,0.0972170631608921
"conditioned",1,18,0.188299079393026
"conditioned",1,18,0.181466954290985
"conditioned",1,18,0.166570094003633
"fresh",1,19,0.165635948915525
"fresh",1,19,0.147891310631757
"fresh",1,19,0.158425253864539
"fresh",2,19,0.126495252167881
"fresh",2,19,0.109956071719124
"fresh",2,19,0.10493730782696
"conditioned",1,19,0.190028887821867
"conditioned",1,19,0.177001461267193
"conditioned",1,19,0.166843169640518
"fresh",1,23,0.18313614719695
"fresh",1,23,0.165205529298339
"fresh",1,23,0.174713797805449
"fresh",2,23,0.131790424745847
"fresh",2,23,0.110648465232415
"fresh",2,23,0.112032502766843
"conditioned",1,23,0.214748797028415
"conditioned",1,23,0.194089457676803
"conditioned",1,23,0.186654706698637
"fresh",1,24,0.186484614206076
"fresh",1,24,0.161108256296548
"fresh",1,24,0.17775255565804
"fresh",2,24,0.129824454061948
"fresh",2,24,0.103393476251135
"fresh",2,24,0.105807284327479
"conditioned",1,24,0.206259932847885
"conditioned",1,24,0.1830626969665
"conditioned",1,24,0.175615605758473
"fresh",1,26,0.174060819134134
"fresh",1,26,0.142474708638648
"fresh",1,26,0.164925512698314
"fresh",2,26,0.120501401429862
"fresh",2,26,0.0945478419326644
"fresh",2,26,0.110950771667436
"conditioned",1,26,0.182282606236616
"conditioned",1,26,0.164501167266347
"conditioned",1,26,0.156077555481995
"fresh",1,27,0.15379813058193
"fresh",1,27,0.141987372216099
"fresh",1,27,0.14733950214037
"fresh",2,27,0.125979253214928
"fresh",2,27,0.0966561351542093
"fresh",2,27,0.106116031885345
"conditioned",1,27,0.172278283779682
"conditioned",1,27,0.160960448000088
"conditioned",1,27,0.152601663329326
"fresh",1,29,0.162587733718866
"fresh",1,29,0.133392903707502
"fresh",1,29,0.155809548771369
"fresh",2,29,0.116400616423112
"fresh",2,29,0.0910548787385008
"fresh",2,29,0.107406300169978
"conditioned",1,29,0.175499451558978
"conditioned",1,29,0.162168474905001
"conditioned",1,29,0.142140697453409
"fresh",1,31,0.135866445392892
"fresh",1,31,0.119702108692842
"fresh",1,31,0.129912243816177
"fresh",2,31,0.0983778209163676
"fresh",2,31,0.0791072893961077
"fresh",2,31,0.0864594099196833
"conditioned",1,31,0.148638913214494
"conditioned",1,31,0.133331528388191
"conditioned",1,31,0.125647154300015
"fresh",1,32,0.128763972389729
"fresh",1,32,0.111135766570313
"fresh",1,32,0.123939430490134
"fresh",2,32,0.0927223665103237
"fresh",2,32,0.0749545184159835
"fresh",2,32,0.0816109859697706
"conditioned",1,32,0.139385280914243
"conditioned",1,32,0.123885659408185
"conditioned",1,32,0.116910598799094
"fresh",1,33,0.112041288612773
"fresh",1,33,0.0951522036176204
"fresh",1,33,0.108115045216874
"fresh",2,33,0.079083802899659
"fresh",2,33,0.0628791987457174
"fresh",2,33,0.0684792185041038
