"Rx1","rep","DP","conc"
"con",1,"nystose",-0.0957232150053556
"con",2,"nystose",-0.232359917625741
"con",3,"nystose",-0.232359917625741
"in",1,"nystose",-0.0042019868941908
"in",2,"nystose",0.0261105625512741
"in",3,"nystose",-0.232359917625741
"gos",1,"nystose",-0.0463732459738475
"gos",2,"nystose",-0.232359917625741
"gos",3,"nystose",-0.0968102542143762
"dex",1,"nystose",-0.074453490494389
"dex",2,"nystose",-0.232359917625741
"dex",3,"nystose",-0.232359917625741
"con",1,"DP3",0.0912164076310702
"con",2,"DP3",-0.0622869056474556
"con",3,"DP3",-0.0119276875001683
"in",1,"DP3",-0.0296149504161647
"in",2,"DP3",0.00371014589007861
"in",3,"DP3",-0.166542796891123
"gos",1,"DP3",0.224231776193538
"gos",2,"DP3",0.104411275784848
"gos",3,"DP3",0.134853851346982
"dex",1,"DP3",-0.136432903440778
"dex",2,"DP3",0.100266405952643
"dex",3,"DP3",-0.173281579303277
"con",1,"DP4",-0.496559623028675
"con",2,"DP4",-0.414826192905708
"con",3,"DP4",-0.253218643679662
"in",1,"DP4",-0.450907647163921
"in",2,"DP4",-0.440383650180244
"in",3,"DP4",-0.338575659666568
"gos",1,"DP4",-0.433213682041752
"gos",2,"DP4",-0.415136034288555
"gos",3,"DP4",-0.442838964466211
"dex",1,"DP4",-0.489926076243078
"dex",2,"DP4",-0.409639024196072
"dex",3,"DP4",-0.0335454386021405
"con",1,"DP5",0.451800884568473
"con",2,"DP5",1.10374038037605
"con",3,"DP5",1.0697035056168
"in",1,"DP5",-0.0941245838774113
"in",2,"DP5",-0.0948420452177815
"in",3,"DP5",-0.0846225888633147
"gos",1,"DP5",-0.101537949345893
"gos",2,"DP5",-0.0167266561233295
"gos",3,"DP5",-0.109766662212245
"dex",1,"DP5",0.115906596308336
"dex",2,"DP5",-0.00168083905563605
"dex",3,"DP5",0.19025325846472
"con",1,"DP6",-0.127365423774046
"con",2,"DP6",-0.173861867370955
"con",3,"DP6",0.0505174306420416
"in",1,"DP6",-0.0647848452708484
"in",2,"DP6",-0.0629049779251353
"in",3,"DP6",-0.0679606421987285
"gos",1,"DP6",-0.123712859173638
"gos",2,"DP6",-0.141864233517533
"gos",3,"DP6",-0.128928037551186
"dex",1,"DP6",-0.128235785351896
"dex",2,"DP6",-0.119290466761935
"dex",3,"DP6",-0.120968894214627
"con",1,"DP7",-0.164269504531295
"con",2,"DP7",-0.132172846249042
"con",3,"DP7",0.0642528178452647
"in",1,"DP7",-0.0787446057868695
"in",2,"DP7",-0.0657375760596201
"in",3,"DP7",0.0054419220013803
"gos",1,"DP7",-0.210593558327969
"gos",2,"DP7",0.03811039989012
"gos",3,"DP7",-0.0614335753839107
"dex",1,"DP7",-0.133004092261205
"dex",2,"DP7",-0.135361060328198
"dex",3,"DP7",-0.136538854795445
"con",1,"DP8",-0.028235827812909
"con",2,"DP8",-0.00483148731994656
"con",3,"DP8",-0.00469173302274443
"in",1,"DP8",-0.0166113052407175
"in",2,"DP8",-0.0173540491730268
"in",3,"DP8",0.506868082850026
"gos",1,"DP8",-0.0200365048908275
"gos",2,"DP8",-0.0136673584452763
"gos",3,"DP8",-0.00953852809306154
"dex",1,"DP8",-0.0419435835083845
"dex",2,"DP8",0.0136035062714626
"dex",3,"DP8",0.0120709147079134
"con",1,"DP9",-0.0702335217604921
"con",2,"DP9",-0.0129083720094934
"con",3,"DP9",-0.0218787274316108
"in",1,"DP9",-0.0528699223205787
"in",2,"DP9",-0.0740431245509873
"in",3,"DP9",-0.0481034436628792
"gos",1,"DP9",-0.0721952675210359
"gos",2,"DP9",-0.0466273780824082
"gos",3,"DP9",-0.0537824997393523
"dex",1,"DP9",-0.0383399506123778
"dex",2,"DP9",-0.0468024606943751
"dex",3,"DP9",-0.0484573029288644
"con",1,"DP10",0.0908203827868685
"con",2,"DP10",0.0850186967459068
"con",3,"DP10",0.0845299563301299
"in",1,"DP10",0.294294055769843
"in",2,"DP10",0.290617638179659
"in",3,"DP10",0.17054860822391
"gos",1,"DP10",0.183145646006051
"gos",2,"DP10",0.131773583590999
"gos",3,"DP10",0.16976863990665
"dex",1,"DP10",0.156361011942529
"dex",2,"DP10",0.156928527174833
"dex",3,"DP10",0.159736183688615
"con",1,"DP 11",0.224268779113069
"con",2,"DP 11",0.202834194476975
"con",3,"DP 11",0.203568024874282
"in",1,"DP 11",0.3091590438915
"in",2,"DP 11",0.304854402345575
"in",3,"DP 11",0.248187555023217
"gos",1,"DP 11",0.27870019280526
"gos",2,"DP 11",0.231245494823521
"gos",3,"DP 11",0.265208818549894
"dex",1,"DP 11",0.243667207196186
"dex",2,"DP 11",0.269930446787522
"dex",3,"DP 11",0.272286345710014
"con",1,"DP 12",0.130490661606488
"con",2,"DP 12",0.123995535869972
"con",3,"DP 12",0.125808566314995
"in",1,"DP 12",0.174775343743537
"in",2,"DP 12",0.171424915959368
"in",3,"DP 12",0.150646628942138
"gos",1,"DP 12",0.168096207553129
"gos",2,"DP 12",0.128884066393306
"gos",3,"DP 12",0.151230027866568
"dex",1,"DP 12",0.159055873550039
"dex",2,"DP 12",0.16655249428742
"dex",3,"DP 12",0.169509866020358
"con",1,"DP 13",0.192581179104724
"con",2,"DP 13",0.201278016889357
"con",3,"DP 13",0.200608892439331
"in",1,"DP 13",0.190886052744527
"in",2,"DP 13",0.205676514767547
"in",3,"DP 13",0.217337281102317
"gos",1,"DP 13",0.195293077778583
"gos",2,"DP 13",0.195535305326979
"gos",3,"DP 13",0.206372380424479
"dex",1,"DP 13",0.231485647105771
"dex",2,"DP 13",0.199776657711162
"dex",3,"DP 13",0.200868258189579
"con",1,"DP 14",-0.122960074132225
"con",2,"DP 14",-0.0989156263553551
"con",3,"DP 14",-0.101461310479999
"in",1,"DP 14",-0.15142263365261
"in",2,"DP 14",-0.153627963637288
"in",3,"DP 14",-0.1099800432251
"gos",1,"DP 14",-0.133766106377884
"gos",2,"DP 14",-0.1200816570003
"gos",3,"DP 14",-0.114101071926404
"dex",1,"DP 14",-0.10242129093282
"dex",2,"DP 14",-0.124219000570805
"dex",3,"DP 14",-0.128599665183352
