expt,treatment1,treatment2,rep,DP,conc,DPn,bin
cilantro,0,0,2,glucose,0.000580717,1,mono/di
cilantro,0,0,3,glucose,-0.000580717,1,mono/di
cilantro,0,100,1,glucose,-0.000580717,1,mono/di
cilantro,0,100,3,glucose,-0.000580717,1,mono/di
cilantro,0.1,100,1,glucose,-0.000580717,1,mono/di
cilantro,0.1,100,3,glucose,-0.000580717,1,mono/di
cilantro,1,100,1,glucose,-0.000580717,1,mono/di
cilantro,1,100,3,glucose,-0.000580717,1,mono/di
cilantro,10,100,2,glucose,-0.000580717,1,mono/di
cilantro,10,100,3,glucose,-0.000580717,1,mono/di
cilantro,25,100,1,glucose,-0.000580717,1,mono/di
cilantro,25,100,3,glucose,-0.000580717,1,mono/di
cilantro,50,100,2,glucose,-0.000580717,1,mono/di
cilantro,50,100,3,glucose,-0.000580717,1,mono/di
cilantro,100,100,1,glucose,0.000836808,1,mono/di
cilantro,100,100,2,glucose,0.000857251,1,mono/di
cilantro,0,0,2,fructose,0.000543985,1,mono/di
cilantro,0,0,3,fructose,-0.000543985,1,mono/di
cilantro,0,100,1,fructose,0.001496407,1,mono/di
cilantro,0,100,3,fructose,0.002802779,1,mono/di
cilantro,0.1,100,1,fructose,0.005894545,1,mono/di
cilantro,0.1,100,3,fructose,0.002250167,1,mono/di
cilantro,1,100,1,fructose,0.003994508,1,mono/di
cilantro,1,100,3,fructose,0.007337824,1,mono/di
cilantro,10,100,2,fructose,0.003907366,1,mono/di
cilantro,10,100,3,fructose,0.000805783,1,mono/di
cilantro,25,100,1,fructose,0.003393514,1,mono/di
cilantro,25,100,3,fructose,0.003291393,1,mono/di
cilantro,50,100,2,fructose,0.005511784,1,mono/di
cilantro,50,100,3,fructose,0.00520882,1,mono/di
cilantro,100,100,1,fructose,0.004860005,1,mono/di
cilantro,100,100,2,fructose,0.004635152,1,mono/di
cilantro,0,0,2,sucrose,-0.000546996,2,mono/di
cilantro,0,0,3,sucrose,0.000546996,2,mono/di
cilantro,0,100,1,sucrose,0.000648961,2,mono/di
cilantro,0,100,3,sucrose,0.00023289,2,mono/di
cilantro,0.1,100,1,sucrose,-0.012116397,2,mono/di
cilantro,0.1,100,3,sucrose,0.001896688,2,mono/di
cilantro,1,100,1,sucrose,0.0018169,2,mono/di
cilantro,1,100,3,sucrose,0.000249558,2,mono/di
cilantro,10,100,2,sucrose,-0.000199918,2,mono/di
cilantro,10,100,3,sucrose,0.008645292,2,mono/di
cilantro,25,100,1,sucrose,0.003513333,2,mono/di
cilantro,25,100,3,sucrose,0.003489013,2,mono/di
cilantro,50,100,2,sucrose,-0.010134662,2,mono/di
cilantro,50,100,3,sucrose,-0.010603541,2,mono/di
cilantro,100,100,1,sucrose,-0.010792229,2,mono/di
cilantro,100,100,2,sucrose,-0.00899188,2,mono/di
cilantro,0,0,2,6-kestose,-4.23E-05,3,FOS
cilantro,0,0,3,6-kestose,4.23E-05,3,FOS
cilantro,0,100,1,6-kestose,-0.004338634,3,FOS
cilantro,0,100,3,6-kestose,-0.000444082,3,FOS
cilantro,0.1,100,1,6-kestose,-0.004338634,3,FOS
cilantro,0.1,100,3,6-kestose,-0.000585469,3,FOS
cilantro,1,100,1,6-kestose,-0.004338634,3,FOS
cilantro,1,100,3,6-kestose,-0.004338634,3,FOS
cilantro,10,100,2,6-kestose,-0.004338634,3,FOS
cilantro,10,100,3,6-kestose,-0.004338634,3,FOS
cilantro,25,100,1,6-kestose,-0.004338634,3,FOS
cilantro,25,100,3,6-kestose,-0.004338634,3,FOS
cilantro,50,100,2,6-kestose,-0.004338634,3,FOS
cilantro,50,100,3,6-kestose,-0.004338634,3,FOS
cilantro,100,100,1,6-kestose,-0.004338634,3,FOS
cilantro,100,100,2,6-kestose,-0.004338634,3,FOS
cilantro,0,0,2,F3,-2.78E-05,3,FOS
cilantro,0,0,3,F3,2.78E-05,3,FOS
cilantro,0,100,1,F3,0.000418556,3,FOS
cilantro,0,100,3,F3,0.000637999,3,FOS
cilantro,0.1,100,1,F3,0.000216172,3,FOS
cilantro,0.1,100,3,F3,0.000702691,3,FOS
cilantro,1,100,1,F3,-0.003137726,3,FOS
cilantro,1,100,3,F3,0.000631213,3,FOS
cilantro,10,100,2,F3,0.000830596,3,FOS
cilantro,10,100,3,F3,0.000769141,3,FOS
cilantro,25,100,1,F3,0.002400992,3,FOS
cilantro,25,100,3,F3,0.002158487,3,FOS
cilantro,50,100,2,F3,-0.003137726,3,FOS
cilantro,50,100,3,F3,0.004499366,3,FOS
cilantro,100,100,1,F3,0.004754782,3,FOS
cilantro,100,100,2,F3,-7.38E-05,3,FOS
cilantro,0,0,2,maltotriose,-0.00038103,3,FOS
cilantro,0,0,3,maltotriose,0.00038103,3,FOS
cilantro,0,100,1,maltotriose,-0.000629482,3,FOS
cilantro,0,100,3,maltotriose,-0.000584319,3,FOS
cilantro,0.1,100,1,maltotriose,-0.001734608,3,FOS
cilantro,0.1,100,3,maltotriose,-0.000592738,3,FOS
cilantro,1,100,1,maltotriose,-0.001702089,3,FOS
cilantro,1,100,3,maltotriose,-0.003661748,3,FOS
cilantro,10,100,2,maltotriose,-0.000185569,3,FOS
cilantro,10,100,3,maltotriose,-0.001570663,3,FOS
cilantro,25,100,1,maltotriose,-0.000858257,3,FOS
cilantro,25,100,3,maltotriose,-0.001359797,3,FOS
cilantro,50,100,2,maltotriose,-0.000712631,3,FOS
cilantro,50,100,3,maltotriose,-0.000292838,3,FOS
cilantro,100,100,1,maltotriose,2.67E-05,3,FOS
cilantro,100,100,2,maltotriose,-0.006455288,3,FOS
cilantro,0,0,2,GF7,-0.00032336,8,FOS
cilantro,0,0,3,GF7,0.00032336,8,FOS
cilantro,0,100,1,GF7,-0.002172135,8,FOS
cilantro,0,100,3,GF7,-0.001692025,8,FOS
cilantro,0.1,100,1,GF7,-0.000444079,8,FOS
cilantro,0.1,100,3,GF7,-0.000881896,8,FOS
cilantro,1,100,1,GF7,0.002799517,8,FOS
cilantro,1,100,3,GF7,-0.001516094,8,FOS
cilantro,10,100,2,GF7,0.001011688,8,FOS
