"","pre.treatment","rep","conc"
"1","control",1,0.0372295993487909
"2","control",2,0.0382087488018525
"3","control",3,0.0167991423992896
"4","Sigma Dahlia",1,0.04555101429214
"5","Sigma Dahlia",2,0.00806037715558431
"6","Sigma Dahlia",3,0
"7","NOW",1,0.0166082971041919
"8","NOW",2,0.0321541211133048
"9","NOW",3,0.0116706377645207
"10","Sigma Chicory",1,0.0177082865599632
"11","Sigma Chicory",2,0.0428616942615445
"12","Sigma Chicory",3,0.00514753035749942
"13","fructose",1,0.0106592303441709
"14","fructose",2,0.00782296809299004
"15","fructose",3,0.00748395829324272
"16","glucose",1,0
"17","glucose",2,0.020444754688829
"18","glucose",3,0.214456753185732
"19","sucrose",1,0
"20","sucrose",2,0.0726263465513636
"21","sucrose",3,0.0206995467531485
"22","control",1,0.0329059560445304
"23","control",2,0
"24","control",3,0.0363883205564392
"25","Sigma Dahlia",1,0.0431028094380171
"26","Sigma Dahlia",2,0.0688008743316965
"27","Sigma Dahlia",3,0.0702411731517555
"28","NOW",1,0.081660045089614
"29","NOW",2,0.0407391228304342
"30","NOW",3,0.0400933465606846
"31","Sigma Chicory",1,0.062791924527836
"32","Sigma Chicory",2,0.0385319833287
"33","Sigma Chicory",3,0.0647610577835308
"34","fructose",1,0.0212388120945475
"35","fructose",2,0.0359832128773876
"36","fructose",3,0.0339923324430755
"37","glucose",1,0.0235545538808494
"38","glucose",2,0.0272545978141664
"39","glucose",3,0.159846685053114
"40","sucrose",1,0.0345090373025602
"41","sucrose",2,0.0673379912534361
"42","sucrose",3,0.0296244820473093
"43","control",1,0.0524140067903462
"44","control",2,0.0520690617891875
"45","control",3,0.0539686937232633
"46","Sigma Dahlia",1,0.0550978963114818
"47","Sigma Dahlia",2,0.0709239854178351
"48","Sigma Dahlia",3,0.0758881683446039
"49","NOW",1,0.102279327763724
"50","NOW",2,0.0491349494219236
"51","NOW",3,0.0444207817879443
"52","Sigma Chicory",1,0.0794684547921836
"53","Sigma Chicory",2,0.0500090949008291
"54","Sigma Chicory",3,0.0697623266762495
"55","fructose",1,0.0362475734485129
"56","fructose",2,0.04541558192894
"57","fructose",3,0.0355919729873895
"58","glucose",1,0.0321887554820394
"59","glucose",2,0.0378505338288307
"60","glucose",3,0.16627386822535
"61","sucrose",1,0.0315581306060275
"62","sucrose",2,0.111580936642632
"63","sucrose",3,0.0409357077965207
"64","control",1,0.0685856722059303
"65","control",2,0.0761867943589696
"66","control",3,0.0788110998567429
"67","Sigma Dahlia",1,0.0506894028573345
"68","Sigma Dahlia",2,0.0808165626111745
"69","Sigma Dahlia",3,0.079182297198729
"70","NOW",1,0.107498246222667
"71","NOW",2,0.062583143165037
"72","NOW",3,0.0555463153001268
