"doses","amt","rep","DP","conc"
"1","1:04","1","GF3",-0.028796741571463
"1","1:04","2","GF3",0.108989228004403
"1","1:04","3","GF3",-0.028796741571463
"2","1:04","1","GF3",-0.028796741571463
"2","1:04","2","GF3",-0.028796741571463
"2","1:04","3","GF3",0.0763425825349793
"2","norm","1","GF3",4.7014026403329e-05
"2","norm","2","GF3",0.0535795713978844
"2","norm","3","GF3",0.0554208503771848
"1","2x","1","GF3",-0.028796741571463
"1","2x","2","GF3",-0.000138675296613898
"1","2x","3","GF3",0.0843571186732937
"1","1:04","1","DP3",-0.0746971173114918
"1","1:04","2","DP3",0.0720120250052518
"1","1:04","3","DP3",-0.0880749114357409
"2","1:04","1","DP3",-0.0163009892955055
"2","1:04","2","DP3",-0.0743335909103795
"2","1:04","3","DP3",-0.012284842813628
"2","norm","1","DP3",-0.0722194810097138
"2","norm","2","DP3",-0.0242535277643216
"2","norm","3","DP3",0.0023037600998951
"1","2x","1","DP3",0.0182838642860505
"1","2x","2","DP3",-0.0939774288875428
"1","2x","3","DP3",0.0359727951704148
"1","1:04","1","DP4",-0.0604771085515375
"1","1:04","2","DP4",0.0957167792582015
"1","1:04","3","DP4",0.0723178924305007
"2","1:04","1","DP4",-0.0961956339167008
"2","1:04","2","DP4",-0.0451703978110117
"2","1:04","3","DP4",-0.0961956339167008
"2","norm","1","DP4",-0.0961956339167008
"2","norm","2","DP4",-0.0961956339167008
"2","norm","3","DP4",-0.0961956339167008
"1","2x","1","DP4",0.127058554688009
"1","2x","2","DP4",0.067102919036711
"1","2x","3","DP4",0.0271219960938948
"1","1:04","1","DP5",0.0461010430669093
"1","1:04","2","DP5",0.35739465103821
"1","1:04","3","DP5",0.0402547768933902
"2","1:04","1","DP5",-0.0743135773370584
"2","1:04","2","DP5",-0.0648792373991631
"2","1:04","3","DP5",-0.0827334807781428
"2","norm","1","DP5",-0.0808662380166129
"2","norm","2","DP5",-0.0840397020465802
"2","norm","3","DP5",-0.0842094987028706
"1","2x","1","DP5",-0.0230470645986275
"1","2x","2","DP5",-0.0465578784697809
"1","2x","3","DP5",0.210496028369448
"1","1:04","1","DP6",0.0134947351302575
"1","1:04","2","DP6",-0.0351650297822731
"1","1:04","3","DP6",-0.0280685484044545
"2","1:04","1","DP6",-0.0277222634933842
"2","1:04","2","DP6",-0.0226498300277757
"2","1:04","3","DP6",-0.023143754969024
"2","norm","1","DP6",-0.0266246926388192
"2","norm","2","DP6",-0.0241801561161215
"2","norm","3","DP6",-0.0261504176296448
"1","2x","1","DP6",-0.00936919113749751
"1","2x","2","DP6",-0.0273146920374127
"1","2x","3","DP6",-0.027977670124008
"1","1:04","1","DP7",0.027388115096808
"1","1:04","2","DP7",-0.0596795738706916
"1","1:04","3","DP7",-0.0284589243355527
"2","1:04","1","DP7",-0.0316035007258805
"2","1:04","2","DP7",-0.0515152519174493
"2","1:04","3","DP7",-0.0462832807899651
"2","norm","1","DP7",-0.0448962076274306
"2","norm","2","DP7",-0.0353134501235921
"2","norm","3","DP7",-0.0431231180636441
"1","2x","1","DP7",0.015572767450421
"1","2x","2","DP7",0.0274819466873399
"1","2x","3","DP7",-0.0486939051247076
"1","1:04","1","DP8",-0.0503176527385865
"1","1:04","2","DP8",-0.110797493668958
"1","1:04","3","DP8",-0.141660020503467
"2","1:04","1","DP8",-0.0941383990058877
"2","1:04","2","DP8",-0.12719903632948
"2","1:04","3","DP8",-0.113139972840432
"2","norm","1","DP8",-0.123516070673135
"2","norm","2","DP8",-0.114822292197928
"2","norm","3","DP8",-0.112511211261841
"1","2x","1","DP8",-0.124359444708446
"1","2x","2","DP8",-0.136207499773703
"1","2x","3","DP8",-0.0496824421376939
"1","1:04","1","DP9",-0.018913447696267
"1","1:04","2","DP9",-0.013706762904829
"1","1:04","3","DP9",-0.00669162504756229
"2","1:04","1","DP9",-0.0152941953642461
"2","1:04","2","DP9",-0.0211475052999337
"2","1:04","3","DP9",-0.0157963844672015
"2","norm","1","DP9",-0.0263605446394529
"2","norm","2","DP9",-0.0132102815535331
"2","norm","3","DP9",-0.012220855295862
"1","2x","1","DP9",-0.0188197561290768
"1","2x","2","DP9",-0.0241731433032499
"1","2x","3","DP9",-0.0219003200862185
"1","1:04","1","DP10",0.0501647129864435
"1","1:04","2","DP10",0.0498760294715401
"1","1:04","3","DP10",0.0369981007440398
"2","1:04","1","DP10",0.12564390655344
"2","1:04","2","DP10",0.102434115149052
"2","1:04","3","DP10",0.14982199257731
"2","norm","1","DP10",0.162180233638723
"2","norm","2","DP10",0.123781172749203
"2","norm","3","DP10",0.123379864034243
"1","2x","1","DP10",0.0644909367608414
"1","2x","2","DP10",0.0522214129579223
"1","2x","3","DP10",0.0416933562064506
"1","1:04","1","DP 11",0.10924419776388
"1","1:04","2","DP 11",0.0701538615527733
"1","1:04","3","DP 11",0.0940434817632191
"2","1:04","1","DP 11",0.129298465812687
"2","1:04","2","DP 11",-0.00661197243500029
"2","1:04","3","DP 11",0.0893886618248145
"2","norm","1","DP 11",0.100600986045198
"2","norm","2","DP 11",0.0921310546397458
"2","norm","3","DP 11",-0.0149930397231262
"1","2x","1","DP 11",0.10155101978413
"1","2x","2","DP 11",0.00426288617629786
"1","2x","3","DP 11",0.0621352992501766
"1","1:04","1","DP 12",0.0763858618745592
"1","1:04","2","DP 12",0.094349015087347
"1","1:04","3","DP 12",0.0659213507045446
