time,signal
0,-0.0095
0.008333,-0.01765
0.016667,-0.02165
0.025,-0.02645
0.033333,-0.0295
0.041667,-0.0306
0.05,-0.03615
0.058333,-0.0383
0.066667,-0.0413
0.075,-0.0449
0.083333,-0.0457
0.091667,-0.04995
0.1,-0.0537
0.108333,-0.0564
0.116667,-0.05995
0.125,-0.06175
0.133333,-0.0664
0.141667,-0.0698
0.15,-0.0713
0.158333,-0.0757
0.166667,-0.07785
0.175,-0.08205
0.183333,-0.0865
0.191667,-0.0875
0.2,-0.09025
0.208333,-0.09305
0.216667,-0.09675
0.225,-0.0996
0.233333,-0.10275
0.241667,-0.107
0.25,-0.1123
0.258333,-0.1124
0.266667,-0.11745
0.275,-0.1189
0.283333,-0.125
0.291667,-0.12575
0.3,-0.13045
0.308333,-0.13545
0.316667,-0.1362
0.325,-0.1401
0.333333,-0.14565
0.341667,-0.14725
0.35,-0.1493
0.358333,-0.15475
0.366667,-0.15775
0.375,-0.1602
0.383333,-0.1632
0.391667,-0.1655
0.4,-0.16855
0.408333,-0.1721
0.416667,-0.1754
0.425,-0.17825
0.433333,-0.18255
0.441667,-0.18645
0.45,-0.1898
0.458333,-0.1922
0.466667,-0.1955
0.475,-0.1992
0.483333,-0.2027
0.491667,-0.20555
0.5,-0.2079
0.508333,-0.2095
0.516667,-0.21405
0.525,-0.21735
0.533333,-0.2201
0.541667,-0.22285
0.55,-0.2269
0.558333,-0.22965
0.566667,-0.23285
0.575,-0.2365
0.583333,-0.23665
0.591667,-0.24
0.6,-0.24535
0.608333,-0.24775
0.616667,-0.2491
0.625,-0.25025
0.633333,-0.2542
0.641667,-0.2586
0.65,-0.2598
0.658333,-0.26485
0.666667,-0.26755
0.675,-0.26805
0.683333,-0.27205
0.691667,-0.27475
0.7,-0.2784
0.708333,-0.2803
0.716667,-0.2819
0.725,-0.28555
0.733333,-0.2889
0.741667,-0.291
0.75,-0.2939
0.758333,-0.29765
0.766667,-0.30045
0.775,-0.303
0.783333,-0.3058
0.791667,-0.31015
0.8,-0.3131
0.808333,-0.31625
0.816667,-0.3169
0.825,-0.3197
0.833333,-0.322
0.841667,-0.32515
0.85,-0.32615
0.858333,-0.33295
0.866667,-0.3329
0.875,-0.3372
0.883333,-0.3406
