time,signal
0.000167,-0.01165
0.0085,-0.0118
0.016833,-0.0109
0.025167,-0.01155
0.0335,-0.0097
0.041833,-0.00895
0.050167,-0.009
0.0585,-0.0079
0.066833,-0.0072
0.075167,-0.0076
0.0835,-0.00765
0.091833,-0.00655
0.100167,-0.0074
0.1085,-0.00715
0.116833,-0.00655
0.125167,-0.00455
0.1335,-0.0067
0.141833,-0.00655
0.150167,-0.00715
0.1585,-0.0068
0.166833,-0.00805
0.175167,-0.0089
0.1835,-0.00865
0.191833,-0.0071
0.200167,-0.00715
0.2085,-0.0085
0.216833,-0.00825
0.225167,-0.00895
0.2335,-0.0089
0.241833,-0.00855
0.250167,-0.00925
0.2585,-0.00745
0.266833,-0.00885
0.275167,-0.0062
0.2835,-0.0081
0.291833,-0.00935
0.300167,-0.01055
0.3085,-0.0109
0.316833,-0.01125
0.325167,-0.0115
0.3335,-0.0109
0.341833,-0.01165
0.350167,-0.01095
0.3585,-0.01145
0.366833,-0.0123
0.375167,-0.01215
0.3835,-0.0112
0.391833,-0.01165
0.400167,-0.01295
0.4085,-0.01125
0.416833,-0.0128
0.425167,-0.0128
0.4335,-0.0141
0.441833,-0.01405
0.450167,-0.01395
0.4585,-0.01455
0.466833,-0.0156
0.475167,-0.0162
0.4835,-0.01585
0.491833,-0.0145
0.500167,-0.0159
0.5085,-0.0157
0.516833,-0.01725
0.525167,-0.0169
0.5335,-0.0162
0.541833,-0.0174
0.550167,-0.01675
0.5585,-0.01655
0.566833,-0.01695
0.575167,-0.01615
0.5835,-0.01745
0.591833,-0.01865
0.600167,-0.0194
0.6085,-0.02095
0.616833,-0.01895
0.625167,-0.01995
0.6335,-0.0204
0.641833,-0.0202
0.650167,-0.01995
0.6585,-0.02005
0.666833,-0.02045
0.675167,-0.0199
0.6835,-0.01935
0.691833,-0.01985
0.700167,-0.02005
0.7085,-0.02075
0.716833,-0.02005
0.725167,-0.01965
0.7335,-0.02195
0.741833,-0.02165
0.750167,-0.02275
0.7585,-0.02365
0.766833,-0.0234
0.775167,-0.0236
0.7835,-0.0234
0.791833,-0.02245
0.800167,-0.02305
0.8085,-0.02385
0.816833,-0.0236
0.825167,-0.02385
0.8335,-0.02305
0.841833,-0.02365
0.850167,-0.02385
0.8585,-0.0239
0.866833,-0.0237
0.875167,-0.0239
0.8835,-0.0241
0.891833,-0.02505
0.900167,-0.02575
0.9085,-0.0269
0.916833,-0.0276
0.925167,-0.02765
0.9335,-0.028
0.941833,-0.02635
0.950167,-0.0279
0.9585,-0.0281
0.966833,-0.02805
0.975167,-0.02765
0.9835,-0.0282
0.991833,-0.02815
1.000167,-0.0282
1.0085,-0.0276
1.016833,-0.02765
1.025167,-0.02855
1.0335,-0.03005
1.041833,-0.0302
1.050167,-0.03225
1.0585,-0.03255
1.066833,-0.0338
1.075167,-0.0337
1.0835,-0.0331
1.091833,-0.0321
1.100167,-0.03215
1.1085,-0.03265
1.116833,-0.0342
1.125167,-0.03305
1.1335,-0.0326
1.141833,-0.0345
1.150167,-0.0316
1.1585,-0.0329
1.166833,-0.0343
1.175167,-0.0345
1.1835,-0.03495
1.191833,-0.0357
1.200167,-0.0378
1.2085,-0.0378
1.216833,-0.03825
1.225167,-0.03765
1.2335,-0.0395
1.241833,-0.03735
1.250167,-0.0378
1.2585,-0.03945
1.266833,-0.03945
1.275167,-0.03975
1.2835,-0.0394
1.291833,-0.0404
1.300167,-0.03935
1.3085,-0.03995
1.316833,-0.0392
1.325167,-0.0401
1.3335,-0.0403
1.341833,-0.04145
1.350167,-0.0431
1.3585,-0.0443
1.366833,-0.04465
1.375167,-0.0447
1.3835,-0.04505
1.391833,-0.0441
1.400167,-0.0442
1.4085,-0.04445
1.416833,-0.04425
1.425167,-0.04575
1.4335,-0.0446
1.441833,-0.04625
1.450167,-0.0448
1.4585,-0.04335
1.466833,-0.0452
1.475167,-0.04605
1.4835,-0.04485
1.491833,-0.04565
1.500167,-0.04895
1.5085,-0.0484
1.516833,-0.04855
1.525167,-0.0494
1.5335,-0.0502
1.541833,-0.04795
1.550167,-0.04915
1.5585,-0.0484
1.566833,-0.0501
1.575167,-0.0488
1.5835,-0.0489
1.591833,-0.0493
1.600167,-0.0488
1.6085,-0.04975
1.616833,-0.0492
1.625167,-0.0501
1.6335,-0.0494
1.641833,-0.0508
1.650167,-0.0509
1.6585,-0.0513
1.666833,-0.0519
1.675167,-0.05325
1.6835,-0.0515
1.691833,-0.05115
1.700167,-0.05175
1.7085,-0.0508
1.716833,-0.0504
1.725167,-0.0415
1.7335,-0.0148
1.741833,0.0537
1.750167,0.1858
1.7585,0.4181
1.766833,0.8753
1.775167,1.96565
1.7835,4.36635
1.791833,8.63115
1.800167,14.80925
1.8085,22.3627
1.816833,30.33
1.825167,37.609801
1.8335,43.232501
1.841833,46.625951
1.850167,47.620551
1.8585,46.477651
1.866833,43.685601
1.875167,39.799551
1.8835,35.316151
1.891833,30.6582
1.900167,26.15285
1.9085,22.02705
1.916833,18.399
1.925167,15.3247
1.9335,12.80165
1.941833,10.7945
1.950167,9.2428
1.9585,8.06665
1.966833,7.16955
1.975167,6.46485
1.9835,5.8721
1.991833,5.33295
2.000167,4.81905
2.0085,4.3281
2.016833,3.8721
2.025167,3.4633
2.0335,3.11185
2.041833,2.8187
2.050167,2.575
2.0585,2.37435
2.066833,2.20125
2.075167,2.052
2.0835,1.9218
2.091833,1.8154
2.100167,1.751
2.1085,1.74185
2.116833,1.79115
2.125167,1.888
2.1335,2.0021
2.141833,2.1095
2.150167,2.184
2.1585,2.216
2.166833,2.21305
2.175167,2.19355
2.1835,2.1776
2.191833,2.18505
2.200167,2.21925
2.2085,2.2675
2.216833,2.29895
2.225167,2.29755
2.2335,2.28515
2.241833,2.43585
2.250167,3.3745
2.2585,6.659
2.266833,14.7863
2.275167,30.17655
2.2835,53.602801
2.291833,82.690001
2.300167,111.767652
2.3085,134.426902
2.316833,147.052002
2.325167,148.915302
2.3335,141.993552
2.341833,128.994452
2.350167,112.694352
2.3585,95.448901
2.366833,79.067701
2.375167,65.084551
2.3835,55.206901
2.391833,51.558451
2.400167,56.100201
2.4085,69.135651
2.416833,87.976251
2.425167,107.389652
2.4335,122.245202
2.441833,129.898852
2.450167,130.172502
2.4585,124.415402
2.466833,114.543552
2.475167,102.416552
2.4835,89.479551
2.491833,76.727551
2.500167,64.787851
2.5085,53.999051
2.516833,44.543201
2.525167,36.464601
2.5335,29.71815
2.541833,24.0325
2.550167,19.8798
2.5585,17.56305
2.566833,18.04735
2.575167,22.49595
2.5835,31.60575
2.591833,45.021151
2.600167,60.955051
2.6085,76.383751
2.616833,88.276151
2.625167,95.014251
2.6335,96.598001
2.641833,93.873901
2.650167,87.831101
2.6585,79.390651
2.666833,69.557451
2.675167,59.401901
2.6835,49.793051
2.691833,41.227551
2.700167,33.900751
2.7085,27.80265
2.716833,22.82075
2.725167,18.8152
2.7335,15.64125
2.741833,13.15705
2.750167,11.1995
2.7585,9.63175
2.766833,8.34045
2.775167,7.2505
2.7835,6.3173
2.791833,5.52785
2.800167,4.88665
2.8085,4.4337
2.816833,4.179
2.825167,3.95035
2.8335,3.7084
2.841833,3.44825
2.850167,3.17695
2.8585,2.92165
2.866833,2.69665
2.875167,2.504
2.8835,2.34175
2.891833,2.20285
2.900167,2.08115
2.9085,1.975
2.916833,1.88315
2.925167,1.8007
2.9335,1.7247
2.941833,1.6521
2.950167,1.582
2.9585,1.5192
2.966833,1.46245
2.975167,1.41155
2.9835,1.3643
2.991833,1.31445
3.000167,1.2687
3.0085,1.2236
3.016833,1.1847
3.025167,1.15025
3.0335,1.11875
3.041833,1.08945
3.050167,1.06565
3.0585,1.06935
3.066833,1.17765
3.075167,1.6043
3.0835,2.7562
3.091833,5.19885
3.100167,9.3486
3.1085,15.1185
3.116833,21.789
3.125167,28.31695
3.1335,33.839651
3.141833,37.940001
3.150167,40.581251
3.1585,41.900001
3.166833,42.019101
3.175167,41.066701
3.1835,39.185951
3.191833,36.541251
3.200167,33.3303
3.2085,29.76255
3.216833,26.05
3.225167,22.37665
3.2335,18.89175
3.241833,15.7119
3.250167,12.91855
3.2585,10.5322
3.266833,8.5403
3.275167,6.91325
3.2835,5.60595
3.291833,4.56685
3.300167,3.74975
3.3085,3.10695
3.316833,2.60435
3.325167,2.20625
3.3335,1.89335
3.341833,1.6494
3.350167,1.4512
3.3585,1.29385
3.366833,1.1716
3.375167,1.0771
3.3835,1.01
3.391833,0.9654
3.400167,0.93855
3.4085,0.92585
3.416833,0.92435
3.425167,0.9304
3.4335,0.94205
3.441833,0.95525
3.450167,0.96715
3.4585,0.9723
3.466833,0.96815
3.475167,0.9524
3.4835,0.9239
3.491833,0.8907
3.500167,0.85425
3.5085,0.83055
3.516833,0.83485
3.525167,0.89295
3.5335,1.01815
3.541833,1.2123
3.550167,1.459
3.5585,1.72325
3.566833,1.96275
3.575167,2.14915
3.5835,2.2611
3.591833,2.29655
3.600167,2.263
3.6085,2.1793
3.616833,2.06225
3.625167,1.925
3.6335,1.92335
3.641833,1.6278
3.650167,1.48725
3.6585,1.34955
3.666833,1.22355
3.675167,1.10745
3.6835,1.0044
3.691833,0.9086
3.700167,0.82545
3.7085,0.7507
3.716833,0.689
3.725167,0.6385
3.7335,0.6096
3.741833,0.6115
3.750167,0.66525
3.7585,0.7954
3.766833,1.02525
3.775167,1.37195
3.7835,1.83065
3.791833,2.3719
3.800167,2.94405
3.8085,3.4791
3.816833,3.9188
3.825167,4.2241
3.8335,4.3769
3.841833,4.38035
3.850167,4.25825
3.8585,4.0377
3.866833,3.74705
3.875167,3.41875
3.8835,3.0727
3.891833,2.72965
3.900167,2.40425
3.9085,2.10395
3.916833,1.83055
3.925167,1.5869
3.9335,1.37395
3.941833,1.1866
3.950167,1.0254
3.9585,0.88815
3.966833,0.772
3.975167,0.67745
3.9835,0.6027
3.991833,0.5496
4.000167,0.5161
4.0085,0.5036
4.016833,0.50495
4.025167,0.51905
4.0335,0.53655
4.041833,0.54995
4.050167,0.55825
4.0585,0.5573
4.066833,0.54695
4.075167,0.53015
4.0835,0.50955
4.091833,0.491
4.100167,0.4788
4.1085,0.48675
4.116833,0.52795
4.125167,0.6193
4.1335,0.77795
4.141833,1.01175
4.150167,1.31595
4.1585,1.67225
4.166833,2.0431
4.175167,2.38865
4.1835,2.6718
4.191833,2.8646
4.200167,2.9583
4.2085,2.94885
4.216833,2.85705
4.225167,2.6904
4.2335,2.4743
4.241833,2.23075
4.250167,1.9721
4.2585,1.71525
4.266833,1.4721
4.275167,1.24755
4.2835,1.0507
4.291833,0.8798
4.300167,0.7356
4.3085,0.61385
4.316833,0.51695
4.325167,0.4377
4.3335,0.3725
4.341833,0.32215
4.350167,0.28115
4.3585,0.25075
4.366833,0.22825
4.375167,0.2116
4.3835,0.2007
4.391833,0.1934
4.400167,0.1892
4.4085,0.18715
