time,signal
0.000167,-0.0158
0.0085,-0.01945
0.016833,-0.0212
0.025167,-0.02015
0.0335,-0.0186
0.041833,-0.01665
0.050167,-0.01585
0.0585,-0.01455
0.066833,-0.01345
0.075167,-0.0124
0.0835,-0.012
0.091833,-0.0114
0.100167,-0.00975
0.1085,-0.0092
0.116833,-0.00885
0.125167,-0.00825
0.1335,-0.00745
0.141833,-0.00795
0.150167,-0.008
0.1585,-0.0078
0.166833,-0.008
0.175167,-0.00875
0.1835,-0.0064
0.191833,-0.0062
0.200167,-0.005
0.2085,-0.00545
0.216833,-0.00355
0.225167,-0.00345
0.2335,-0.0039
0.241833,-0.00365
0.250167,-0.00345
0.2585,-0.00355
0.266833,-0.0034
0.275167,-0.00455
0.2835,-0.0035
0.291833,-0.0047
0.300167,-0.005
0.3085,-0.0054
0.316833,-0.0048
0.325167,-0.0051
0.3335,-0.0042
0.341833,-0.00395
0.350167,-0.0047
0.3585,-0.0048
0.366833,-0.0032
0.375167,-0.0034
0.3835,-0.0039
0.391833,-0.00345
0.400167,-0.0043
0.4085,-0.00315
0.416833,-0.00395
0.425167,-0.00405
0.4335,-0.00355
0.441833,-0.005
0.450167,-0.00535
0.4585,-0.00605
0.466833,-0.00675
0.475167,-0.0069
0.4835,-0.0056
0.491833,-0.00565
0.500167,-0.006
0.5085,-0.0057
0.516833,-0.00575
0.525167,-0.0045
0.5335,-0.0047
0.541833,-0.0047
0.550167,-0.0048
0.5585,-0.00335
0.566833,-0.00435
0.575167,-0.00465
0.5835,-0.0052
0.591833,-0.0052
0.600167,-0.00475
0.6085,-0.00605
0.616833,-0.00685
0.625167,-0.0059
0.6335,-0.00535
0.641833,-0.00515
0.650167,-0.00595
0.6585,-0.0052
0.666833,-0.0059
0.675167,-0.00575
0.6835,-0.0063
0.691833,-0.0042
0.700167,-0.00415
0.7085,-0.0041
0.716833,-0.00425
0.725167,-0.00435
0.7335,-0.00595
0.741833,-0.00635
0.750167,-0.00695
0.7585,-0.0069
