time,signal
0,-0.00885
0.008333,-0.0146
0.016667,-0.0154
0.025,-0.0146
0.033333,-0.01215
0.041667,-0.01175
0.05,-0.0094
0.058333,-0.00945
0.066667,-0.00775
0.075,-0.00805
0.083333,-0.0063
0.091667,-0.006
0.1,-0.00375
0.108333,-0.00325
0.116667,-0.0031
0.125,-0.0022
0.133333,-0.00115
0.141667,-0.0016
0.15,-0.00195
0.158333,-0.0018
0.166667,-0.00115
0.175,-0.0028
0.183333,-0.0009
0.191667,-0.00135
0.2,-0.00075
0.208333,0.00085
0.216667,0.00175
0.225,0.0024
0.233333,0.00245
0.241667,0.00165
0.25,0.0024
0.258333,0.0023
0.266667,0.0026
0.275,0.0036
0.283333,0.0027
0.291667,0.0015
0.3,0.002
0.308333,0.00165
0.316667,0.0008
0.325,0.00135
0.333333,0.0009
0.341667,0.00095
0.35,0.0027
0.358333,0.0035
0.366667,0.0037
0.375,0.0043
0.383333,0.00445
0.391667,0.00345
0.4,0.00305
0.408333,0.00415
0.416667,0.00605
0.425,0.0043
0.433333,0.0054
0.441667,0.00445
0.45,0.0056
0.458333,0.00605
0.466667,0.0053
0.475,0.00405
0.483333,0.00565
0.491667,0.00755
0.5,0.0057
0.508333,0.006
0.516667,0.00605
0.525,0.00605
0.533333,0.00745
0.541667,0.0057
0.55,0.0057
0.558333,0.00495
0.566667,0.00665
0.575,0.00765
0.583333,0.0068
0.591667,0.00565
0.6,0.0077
0.608333,0.00755
0.616667,0.0063
0.625,0.00685
0.633333,0.0061
0.641667,0.007
0.65,0.0073
0.658333,0.00755
0.666667,0.00755
0.675,0.0075
0.683333,0.0092
0.691667,0.0072
0.7,0.0079
0.708333,0.00925
0.716667,0.0089
0.725,0.01055
0.733333,0.00975
0.741667,0.00865
0.75,0.0082
0.758333,0.00775
0.766667,0.0081
0.775,0.00735
0.783333,0.00825
0.791667,0.00785
0.8,0.00815
0.808333,0.0087
0.816667,0.0084
0.825,0.00855
0.833333,0.0093
0.841667,0.0085
0.85,0.00905
0.858333,0.00945
0.866667,0.00925
0.875,0.00905
0.883333,0.009
0.891667,0.00855
0.9,0.00865
0.908333,0.0095
0.916667,0.0086
0.925,0.0088
0.933333,0.00825
0.941667,0.00965
0.95,0.0095
0.958333,0.00935
0.966667,0.00965
0.975,0.00985
0.983333,0.0101
0.991667,0.00965
1,0.0108
1.008333,0.01045
1.016667,0.01125
1.025,0.0109
1.033333,0.01035
1.041667,0.00885
1.05,0.0097
1.058333,0.009
1.066667,0.00905
1.075,0.0078
1.083333,0.00785
1.091667,0.00935
1.1,0.0102
1.108333,0.00965
1.116667,0.0089
1.125,0.01035
1.133333,0.00965
1.141667,0.01095
1.15,0.0109
1.158333,0.013
1.166667,0.0112
1.175,0.0098
1.183333,0.01075
1.191667,0.01025
1.2,0.0111
1.208333,0.00955
1.216667,0.00905
1.225,0.009
1.233333,0.00805
1.241667,0.00965
1.25,0.01045
1.258333,0.01
1.266667,0.0095
1.275,0.0107
1.283333,0.0107
1.291667,0.01255
1.3,0.01155
1.308333,0.0123
1.316667,0.01325
1.325,0.0129
1.333333,0.01285
1.341667,0.0123
1.35,0.0115
1.358333,0.01145
1.366667,0.01035
1.375,0.00975
1.383333,0.0106
1.391667,0.01085
1.4,0.0119
1.408333,0.0115
1.416667,0.00995
1.425,0.0118
1.433333,0.01105
1.441667,0.0109
1.45,0.0118
1.458333,0.0117
1.466667,0.0129
1.475,0.0125
1.483333,0.0122
1.491667,0.01165
1.5,0.0117
1.508333,0.0098
1.516667,0.01115
1.525,0.01095
1.533333,0.0108
1.541667,0.0118
1.55,0.01075
1.558333,0.0128
1.566667,0.0121
1.575,0.0123
1.583333,0.0134
1.591667,0.01365
1.6,0.0135
1.608333,0.0141
1.616667,0.01445
1.625,0.0155
1.633333,0.01375
1.641667,0.0156
1.65,0.01135
1.658333,0.0107
1.666667,0.0101
1.675,0.01025
1.683333,0.01085
1.691667,0.0114
1.7,0.0127
1.708333,0.0121
1.716667,0.01195
1.725,0.0128
1.733333,0.0158
1.741667,0.0288
1.75,0.0688
1.758333,0.16285
1.766667,0.3233
1.775,0.5443
1.783333,0.7873
1.791667,1.0049
1.8,1.1468
1.808333,1.19695
1.816667,1.16375
1.825,1.06735
1.833333,0.9376
1.841667,0.79635
1.85,0.66335
1.858333,0.54205
1.866667,0.438
1.875,0.35345
1.883333,0.28655
1.891667,0.2338
1.9,0.19445
1.908333,0.16385
1.916667,0.14405
1.925,0.12925
1.933333,0.1198
1.941667,0.11185
1.95,0.10615
1.958333,0.09955
1.966667,0.09425
1.975,0.08795
1.983333,0.0887
1.991667,0.08265
2,0.07955
2.008333,0.0793
2.016667,0.084
2.025,0.0919
2.033333,0.1081
2.041667,0.1305
2.05,0.1527
2.058333,0.17755
2.066667,0.19545
2.075,0.21155
2.083333,0.2186
2.091667,0.21985
2.1,0.21295
2.108333,0.2054
2.116667,0.19445
2.125,0.1841
2.133333,0.1725
2.141667,0.16465
2.15,0.15485
2.158333,0.14545
2.166667,0.1381
2.175,0.1323
2.183333,0.1264
2.191667,0.121
2.2,0.11435
2.208333,0.1113
2.216667,0.1075
2.225,0.1039
2.233333,0.09935
2.241667,0.0986
2.25,0.0989
2.258333,0.10875
2.266667,0.13165
2.275,0.1719
2.283333,0.22485
2.291667,0.28495
2.3,0.33845
2.308333,0.378
2.316667,0.3967
2.325,0.39685
2.333333,0.3834
2.341667,0.35855
2.35,0.32745
2.358333,0.2952
2.366667,0.27175
2.375,0.2644
2.383333,0.2839
2.391667,0.3441
2.4,0.44185
2.408333,0.5705
2.416667,0.70165
2.425,0.8083
2.433333,0.8706
2.441667,0.8857
2.45,0.856
2.458333,0.7932
2.466667,0.71315
2.475,0.62535
2.483333,0.5404
2.491667,0.4626
2.5,0.3965
2.508333,0.34145
2.516667,0.3003
2.525,0.2624
2.533333,0.2352
2.541667,0.2153
2.55,0.202
2.558333,0.19885
2.566667,0.20265
2.575,0.21185
2.583333,0.226
2.591667,0.2407
2.6,0.25055
2.608333,0.25265
2.616667,0.24775
2.625,0.2383
2.633333,0.2263
2.641667,0.2091
2.65,0.19135
2.658333,0.1738
2.666667,0.1596
2.675,0.14445
2.683333,0.13195
2.691667,0.1224
2.7,0.11355
2.708333,0.10675
2.716667,0.1028
2.725,0.0963
2.733333,0.09195
2.741667,0.0903
2.75,0.0889
2.758333,0.0851
2.766667,0.08465
2.775,0.0838
2.783333,0.08265
2.791667,0.0812
2.8,0.07805
2.808333,0.08045
2.816667,0.0838
2.825,0.08615
2.833333,0.0862
2.841667,0.08345
2.85,0.0816
2.858333,0.07825
2.866667,0.0768
2.875,0.07545
2.883333,0.0759
2.891667,0.0765
2.9,0.0791
2.908333,0.0855
2.916667,0.0904
2.925,0.0955
2.933333,0.0998
2.941667,0.1011
2.95,0.10265
2.958333,0.1069
2.966667,0.10835
2.975,0.10795
2.983333,0.10855
2.991667,0.10895
3,0.1057
3.008333,0.1044
3.016667,0.10355
3.025,0.1006
3.033333,0.1009
3.041667,0.1023
3.05,0.10815
3.058333,0.12165
3.066667,0.13955
3.075,0.16025
3.083333,0.1808
3.091667,0.19795
3.1,0.2127
3.108333,0.22455
3.116667,0.23455
3.125,0.24175
3.133333,0.2473
3.141667,0.24595
3.15,0.24285
3.158333,0.23285
3.166667,0.22125
3.175,0.2086
3.183333,0.1941
3.191667,0.17715
3.2,0.1627
3.208333,0.1514
3.216667,0.13915
3.225,0.12995
3.233333,0.1187
3.241667,0.11095
3.25,0.10615
3.258333,0.1026
3.266667,0.09865
3.275,0.0965
3.283333,0.0926
3.291667,0.0903
3.3,0.088
3.308333,0.08535
3.316667,0.0858
3.325,0.08335
3.333333,0.0839
3.341667,0.0859
3.35,0.0883
3.358333,0.0901
3.366667,0.092
3.375,0.0908
3.383333,0.09375
3.391667,0.09395
3.4,0.09525
3.408333,0.09525
3.416667,0.0936
3.425,0.09215
3.433333,0.0906
3.441667,0.08985
3.45,0.0867
3.458333,0.0855
3.466667,0.0842
3.475,0.0827
3.483333,0.0827
3.491667,0.08245
3.5,0.08235
3.508333,0.0824
3.516667,0.08395
3.525,0.0821
