"","time","pre.treat","rep","OD600"
"1",0,"glu","1",0.516
"2",0,"glu","2",0.504
"3",0,"glu","3",0.5
"4",0,"inu","1",0.516
"5",0,"inu","2",0.524
"6",0,"inu","3",0.503
"7",0.5,"glu","1",0.498
"8",0.5,"glu","2",0.487
"9",0.5,"glu","3",0.484
"10",0.5,"inu","1",0.522
"11",0.5,"inu","2",0.544
"12",0.5,"inu","3",0.509
"13",1,"glu","1",0.572
"14",1,"glu","2",0.541
"15",1,"glu","3",0.546
"16",1,"inu","1",0.604
"17",1,"inu","2",0.627
"18",1,"inu","3",0.587
"19",1.5,"glu","1",0.627
"20",1.5,"glu","2",0.578
"21",1.5,"glu","3",0.582
"22",1.5,"inu","1",0.702
"23",1.5,"inu","2",0.726
"24",1.5,"inu","3",0.681
"25",2,"glu","1",0.703
"26",2,"glu","2",0.609
"27",2,"glu","3",0.612
"28",2,"inu","1",0.797
"29",2,"inu","2",0.835
"30",2,"inu","3",0.772
"31",2.5,"glu","1",0.746
"32",2.5,"glu","2",0.632
"33",2.5,"glu","3",0.633
"34",2.5,"inu","1",0.908
"35",2.5,"inu","2",0.948
"36",2.5,"inu","3",0.878
"37",3,"glu","1",0.779
"38",3,"glu","2",0.638
"39",3,"glu","3",0.64
"40",3,"inu","1",1.002
"41",3,"inu","2",1.026
"42",3,"inu","3",0.961
"43",3.5,"glu","1",0.826
"44",3.5,"glu","2",0.653
"45",3.5,"glu","3",0.657
"46",3.5,"inu","1",1.102
"47",3.5,"inu","2",1.116
"48",3.5,"inu","3",1.056
"49",4,"glu","1",0.882
"50",4,"glu","2",0.66
"51",4,"glu","3",0.667
"52",4,"inu","1",1.205
"53",4,"inu","2",1.212
"54",4,"inu","3",1.156
"55",4.5,"glu","1",0.969
"56",4.5,"glu","2",0.683
"57",4.5,"glu","3",0.692
"58",4.5,"inu","1",1.297
"59",4.5,"inu","2",1.31
"60",4.5,"inu","3",1.24
"61",5,"glu","1",1.06
"62",5,"glu","2",0.712
"63",5,"glu","3",0.714
"64",5,"inu","1",1.368
"65",5,"inu","2",1.407
"66",5,"inu","3",1.315
"67",5.5,"glu","1",1.148
"68",5.5,"glu","2",0.748
"69",5.5,"glu","3",0.75
"70",5.5,"inu","1",1.443
"71",5.5,"inu","2",1.506
"72",5.5,"inu","3",1.377
"73",6,"glu","1",1.234
"74",6,"glu","2",0.785
"75",6,"glu","3",0.788
"76",6,"inu","1",1.533
"77",6,"inu","2",1.621
"78",6,"inu","3",1.407
"79",6.5,"glu","1",1.324
"80",6.5,"glu","2",0.836
"81",6.5,"glu","3",0.836
"82",6.5,"inu","1",1.675
"83",6.5,"inu","2",1.755
"84",6.5,"inu","3",1.458
"85",7,"glu","1",1.415
"86",7,"glu","2",0.895
"87",7,"glu","3",0.9
"88",7,"inu","1",1.838
"89",7,"inu","2",1.858
"90",7,"inu","3",1.541
"91",7.5,"glu","1",1.495
"92",7.5,"glu","2",0.956
"93",7.5,"glu","3",0.958
"94",7.5,"inu","1",1.999
"95",7.5,"inu","2",1.958
"96",7.5,"inu","3",1.645
"97",8,"glu","1",1.577
"98",8,"glu","2",1.013
"99",8,"glu","3",1.024
"100",8,"inu","1",2.132
"101",8,"inu","2",2.076
"102",8,"inu","3",1.816
"103",8.5,"glu","1",1.67
"104",8.5,"glu","2",1.091
"105",8.5,"glu","3",1.1
"106",8.5,"inu","1",2.23
"107",8.5,"inu","2",2.207
"108",8.5,"inu","3",1.994
"109",9,"glu","1",1.758
"110",9,"glu","2",1.177
"111",9,"glu","3",1.194
"112",9,"inu","1",2.26
"113",9,"inu","2",2.252
"114",9,"inu","3",2.121
"115",9.5,"glu","1",1.837
"116",9.5,"glu","2",1.299
"117",9.5,"glu","3",1.344
"118",9.5,"inu","1",2.307
"119",9.5,"inu","2",2.359
"120",9.5,"inu","3",2.242
"121",10,"glu","1",1.887
"122",10,"glu","2",1.478
"123",10,"glu","3",1.499
"124",10,"inu","1",2.332
"125",10,"inu","2",2.384
"126",10,"inu","3",2.297
"127",10.5,"glu","1",1.916
"128",10.5,"glu","2",1.701
"129",10.5,"glu","3",1.677
"130",10.5,"inu","1",2.347
"131",10.5,"inu","2",2.399
"132",10.5,"inu","3",2.342
"133",11,"glu","1",1.943
"134",11,"glu","2",1.858
"135",11,"glu","3",1.817
"136",11,"inu","1",2.357
"137",11,"inu","2",2.409
"138",11,"inu","3",2.373
"139",11.5,"glu","1",1.955
"140",11.5,"glu","2",1.944
"141",11.5,"glu","3",1.89
"142",11.5,"inu","1",2.372
"143",11.5,"inu","2",2.402
"144",11.5,"inu","3",2.388
"145",12,"glu","1",1.981
"146",12,"glu","2",2.013
"147",12,"glu","3",1.967
"148",12,"inu","1",2.395
"149",12,"inu","2",2.4
"150",12,"inu","3",2.401
"151",12.5,"glu","1",2.006
"152",12.5,"glu","2",2.054
"153",12.5,"glu","3",2.021
"154",12.5,"inu","1",2.386
"155",12.5,"inu","2",2.386
"156",12.5,"inu","3",2.409
"157",13,"glu","1",2.059
"158",13,"glu","2",2.091
"159",13,"glu","3",2.045
"160",13,"inu","1",2.38
"161",13,"inu","2",2.377
"162",13,"inu","3",2.4
"163",13.5,"glu","1",2.05
"164",13.5,"glu","2",2.133
"165",13.5,"glu","3",2.099
"166",13.5,"inu","1",2.382
"167",13.5,"inu","2",2.395
"168",13.5,"inu","3",2.403
"169",14,"glu","1",2.061
"170",14,"glu","2",2.161
"171",14,"glu","3",2.115
"172",14,"inu","1",2.365
"173",14,"inu","2",2.393
"174",14,"inu","3",2.39
"175",14.5,"glu","1",2.078
"176",14.5,"glu","2",2.165
"177",14.5,"glu","3",2.144
"178",14.5,"inu","1",2.376
"179",14.5,"inu","2",2.389
"180",14.5,"inu","3",2.403
"181",15,"glu","1",2.08
"182",15,"glu","2",2.173
"183",15,"glu","3",2.168
"184",15,"inu","1",2.37
"185",15,"inu","2",2.373
"186",15,"inu","3",2.384
"187",15.5,"glu","1",2.085
"188",15.5,"glu","2",2.171
"189",15.5,"glu","3",2.181
"190",15.5,"inu","1",2.362
"191",15.5,"inu","2",2.371
"192",15.5,"inu","3",2.371
"193",16,"glu","1",2.095
"194",16,"glu","2",2.177
"195",16,"glu","3",2.189
"196",16,"inu","1",2.35
"197",16,"inu","2",2.36
"198",16,"inu","3",2.371
