Day,Hour,Vessel,time,Rep,Acetate,propionate,isobutyrate,Butyrate,isovalerate,valerate
1,16,,1.666666667,1,0.9489,0.11579,0,0.12348,0.04359,0.00534
1,16,,1.666666667,2,0.96144,0.16807,0.02988,0.25346,0.13169,0.06268
1,16,,1.666666667,3,0.86733,0.1102,0.00826,0.13023,0.05423,0.01973
1,16,1,1.666666667,1,0.53214,0.03988,0,0.05484,0.03952,0.0063
1,16,1,1.666666667,2,0.57556,0.0753,0,0.1458,0.07707,0.0128
1,16,1,1.666666667,3,0.63423,0.09206,0.00837,0.16515,0.07504,0.01628
1,16,2,1.666666667,1,0.58775,0.05869,0,0.10401,0.05076,0.01661
1,16,2,1.666666667,2,0.5556,0.05018,0,0.07059,0.04104,0.00214
1,16,2,1.666666667,3,0.60534,0.07364,0.01739,0.13325,0.09326,0.04004
1,16,3,1.666666667,1,0.59259,0.05799,0,0.06037,0.0358,
1,16,3,1.666666667,2,0.64639,0.0952,0.01018,0.17474,0.07528,0.0213
1,16,3,1.666666667,3,0.65584,0.05964,0,0.07269,0.0432,0.00232
1,16,4,1.666666667,1,0.58299,0.08699,0.02212,0.17253,0.10871,0.06882
1,16,4,1.666666667,2,0.57812,0.06781,0,0.1376,0.07034,0.0144
1,16,4,1.666666667,3,0.59419,0.08749,0.02791,0.20531,0.12779,0.0667
1,16,6,1.666666667,1,0.59736,0.05377,,0.07571,0.02706,
1,16,6,1.666666667,2,0.6194,0.06694,0.00282,0.12199,0.05196,0.0085
1,16,6,1.666666667,3,0.57183,0.04081,,0.04742,0.02611,
1,16,7,1.666666667,1,0.62468,0.07286,0,0.11541,0.05965,0.00815
1,16,7,1.666666667,2,0.65101,0.06987,0.00792,0.11806,0.06559,0.01799
1,16,7,1.666666667,3,0.60452,0.04585,0,0.04749,,
1,16,8,1.666666667,1,0.55,0.04882,0,0.07295,0.05581,0.01759
1,16,8,1.666666667,2,0.63695,0.09485,0.02493,0.20735,0.12055,0.08172
1,16,8,1.666666667,3,0.57221,0.05428,0,0.07846,0.04438,0.00734
2,16,1,2.666666667,1,4.94208,1.26352,0.02737,2.04024,0.14825,0.0995
2,16,1,2.666666667,2,5.02292,1.28476,0.02078,2.0502,0.11255,0.07845
2,16,1,2.666666667,3,3.80998,0.97202,0.01071,1.55919,0.10138,0.07127
2,16,2,2.666666667,1,4.80727,1.31078,0.01929,1.92998,0.10188,0.07018
2,16,2,2.666666667,2,5.08004,1.39681,0.02479,2.04768,0.1305,0.08564
2,16,2,2.666666667,3,4.71071,1.30282,0.02295,1.93353,0.10792,0.07383
2,16,3,2.666666667,1,3.2896,0.84661,0,2.19343,0.05717,0.05225
2,16,3,2.666666667,2,3.83601,0.98151,0.03686,2.56864,0.13942,0.11231
2,16,3,2.666666667,3,3.20831,0.7971,0.00057,2.10117,0.0659,0.06608
2,16,4,2.666666667,1,4.49867,1.2331,0.04653,1.85141,0.17784,0.13095
2,16,4,2.666666667,2,4.64356,1.25912,0.01884,1.88396,0.1359,0.07285
