kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K00001,alcohol dehydrogenase [EC:1.1.1.1],1.1.1.1,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NADPH:quinone reductase or related Zn-dependent oxidoreductase,COG0604,C,Energy production and conversion
K00002,alcohol dehydrogenase (NADP+) [EC:1.1.1.2],1.1.1.2,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Aldo/keto reductase, related to diketogulonate reductase",COG0656,Q,Secondary Structure
K00003,homoserine dehydrogenase [EC:1.1.1.3],1.1.1.3,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Homoserine dehydrogenase,COG0460,E,Amino Acid metabolis and transport
K00005,glycerol dehydrogenase [EC:1.1.1.6],1.1.1.6,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Glycerol dehydrogenase or related enzyme, iron-containing ADH family",COG0371,C,Energy production and conversion
K00007,D-arabinitol 4-dehydrogenase [EC:1.1.1.11],1.1.1.11,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00008,L-iditol 2-dehydrogenase [EC:1.1.1.14],1.1.1.14,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Threonine dehydrogenase or related Zn-dependent dehydrogenase,COG1063,E,Amino Acid metabolis and transport
K00009,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],1.1.1.17,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,Carbohydrate metabolism and transport
K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],1.1.1.18,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Predicted dehydrogenase,COG0673,R,General Functional Prediction only
K00011,aldehyde reductase [EC:1.1.1.21],1.1.1.21,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Aldo/keto reductase, related to diketogulonate reductase",COG0656,Q,Secondary Structure
K00012,UDPglucose 6-dehydrogenase [EC:1.1.1.22],1.1.1.22,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,UDP-glucose 6-dehydrogenase,COG1004,M,Cell wall/membrane/envelop biogenesis
K00013,histidinol dehydrogenase [EC:1.1.1.23],1.1.1.23,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Histidinol dehydrogenase,COG0141,E,Amino Acid metabolis and transport
K00014,shikimate dehydrogenase [EC:1.1.1.25],1.1.1.25,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Shikimate 5-dehydrogenase,COG0169,E,Amino Acid metabolis and transport
K00015,glyoxylate reductase [EC:1.1.1.26],1.1.1.26,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase,COG1052,C,Energy production and conversion
K00016,L-lactate dehydrogenase [EC:1.1.1.27],1.1.1.27,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Malate/lactate dehydrogenase,COG0039,C,Energy production and conversion
K00018,glycerate dehydrogenase [EC:1.1.1.29],1.1.1.29,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase,COG1052,C,Energy production and conversion
K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],1.1.1.30,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],1.1.1.31,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase,COG2084,I,Lipid metabolism
K00021,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],1.1.1.34,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Hydroxymethylglutaryl-CoA reductase,COG1257,I,Lipid metabolism
K00022,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],1.1.1.35,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00023,acetoacetyl-CoA reductase [EC:1.1.1.36],1.1.1.36,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00024,malate dehydrogenase [EC:1.1.1.37],1.1.1.37,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Malate/lactate dehydrogenase,COG0039,C,Energy production and conversion
K00025,malate dehydrogenase [EC:1.1.1.37],1.1.1.37,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00026,malate dehydrogenase [EC:1.1.1.37],1.1.1.37,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00027,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],1.1.1.38,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Malic enzyme,COG0281,C,Energy production and conversion
K00028,malate dehydrogenase (decarboxylating) [EC:1.1.1.39],1.1.1.39,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Malic enzyme,COG0281,C,Energy production and conversion
K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],1.1.1.40,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Phosphotransacetylase,COG0280,C,Energy production and conversion
K00030,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],1.1.1.41,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Isocitrate/isopropylmalate dehydrogenase,COG0473,C,Energy production and conversion
K00031,isocitrate dehydrogenase [EC:1.1.1.42],1.1.1.42,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Isocitrate dehydrogenase,COG0538,C,Energy production and conversion
K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],1.1.1.44,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,6-phosphogluconate dehydrogenase,COG0362,G,Carbohydrate metabolism and transport
K00034,glucose 1-dehydrogenase [EC:1.1.1.47],1.1.1.47,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],1.1.1.49,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Glucose-6-phosphate 1-dehydrogenase,COG0364,G,Carbohydrate metabolism and transport
K00040,fructuronate reductase [EC:1.1.1.57],1.1.1.57,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,Carbohydrate metabolism and transport
K00041,tagaturonate reductase [EC:1.1.1.58],1.1.1.58,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,Carbohydrate metabolism and transport
K00042,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60],1.1.1.60,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase,COG2084,I,Lipid metabolism
K00043,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],1.1.1.61,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00045,mannitol 2-dehydrogenase [EC:1.1.1.67],1.1.1.67,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Mannitol-1-phosphate/altronate dehydrogenases,COG0246,G,Carbohydrate metabolism and transport
K00046,gluconate 5-dehydrogenase [EC:1.1.1.69],1.1.1.69,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00048,lactaldehyde reductase [EC:1.1.1.77],1.1.1.77,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Alcohol dehydrogenase, class IV",COG1454,C,Energy production and conversion
K00050,hydroxypyruvate reductase [EC:1.1.1.81],1.1.1.81,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Glycerate-2-kinase,COG2379,G,Carbohydrate metabolism and transport
K00052,3-isopropylmalate dehydrogenase [EC:1.1.1.85],1.1.1.85,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Isocitrate/isopropylmalate dehydrogenase,COG0473,C,Energy production and conversion
K00053,ketol-acid reductoisomerase [EC:1.1.1.86],1.1.1.86,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Ketol-acid reductoisomerase,COG0059,E,Amino Acid metabolis and transport
K00054,hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88],1.1.1.88,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Hydroxymethylglutaryl-CoA reductase,COG1257,I,Lipid metabolism
K00055,aryl-alcohol dehydrogenase [EC:1.1.1.90],1.1.1.90,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00057,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],1.1.1.94,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Glycerol-3-phosphate dehydrogenase,COG0240,C,Energy production and conversion
K00058,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],1.1.1.95,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Phosphoglycerate dehydrogenase or related dehydrogenase,COG0111,H,Coenzyme metabolis
K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],1.1.1.100,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00060,threonine 3-dehydrogenase [EC:1.1.1.103],1.1.1.103,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Threonine dehydrogenase or related Zn-dependent dehydrogenase,COG1063,E,Amino Acid metabolis and transport
K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],1.1.1.122,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Predicted oxidoreductase (related to aryl-alcohol dehydrogenase),COG0667,R,General Functional Prediction only
K00065,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],1.1.1.127,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00066,GDP-mannose 6-dehydrogenase [EC:1.1.1.132],1.1.1.132,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00067,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],1.1.1.133,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,dTDP-4-dehydrorhamnose reductase,COG1091,M,Cell wall/membrane/envelop biogenesis
K00068,sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],1.1.1.140,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00073,ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],1.1.1.350,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family",COG2055,C,Energy production and conversion
K00074,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],1.1.1.157,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,3-hydroxyacyl-CoA dehydrogenase,COG1250,I,Lipid metabolism
K00075,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],1.3.1.98,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,UDP-N-acetylenolpyruvoylglucosamine reductase,COG0812,M,Cell wall/membrane/envelop biogenesis
K00076,7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],1.1.1.159,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",COG1028,I,Lipid metabolism
K00077,2-dehydropantoate 2-reductase [EC:1.1.1.169],1.1.1.169,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Ketopantoate reductase,COG1893,H,Coenzyme metabolis
K00082,5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193],1.1.1.193,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Pyrimidine reductase, riboflavin biosynthesis",COG1985,H,Coenzyme metabolis
K00086,"1,3-propanediol dehydrogenase [EC:1.1.1.202]",1.1.1.202,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Alcohol dehydrogenase, class IV",COG1454,C,Energy production and conversion
K00087,xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4],1.17.1.4,Oxidoreductases,Acting on CH or CH(2) groups,With NAD(+) or NADP(+) as acceptor,"CO or xanthine dehydrogenase, Mo-binding subunit",COG1529,C,Energy production and conversion
K00088,IMP dehydrogenase [EC:1.1.1.205],1.1.1.205,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,IMP dehydrogenase/GMP reductase,COG0516,F,Nucleotide metabolism and transport
K00090,glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215],1.1.1.79,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase,COG1052,C,Energy production and conversion
K00091,dihydroflavonol-4-reductase [EC:1.1.1.219],1.1.1.219,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Nucleoside-diphosphate-sugar epimerase,COG0451,M,Cell wall/membrane/envelop biogenesis
K00094,galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251],1.1.1.251,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Threonine dehydrogenase or related Zn-dependent dehydrogenase,COG1063,E,Amino Acid metabolis and transport
K00096,glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261],1.1.1.261,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Glycerol dehydrogenase or related enzyme, iron-containing ADH family",COG0371,C,Energy production and conversion
K00097,4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],1.1.1.262,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,4-hydroxy-L-threonine phosphate dehydrogenase PdxA,COG1995,H,Coenzyme metabolis
K00098,L-idonate 5-dehydrogenase [EC:1.1.1.264],1.1.1.264,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Threonine dehydrogenase or related Zn-dependent dehydrogenase,COG1063,E,Amino Acid metabolis and transport
K00099,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],1.1.1.267,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,1-deoxy-D-xylulose 5-phosphate reductoisomerase,COG0743,I,Lipid metabolism
K00100,butanol dehydrogenase [EC:1.1.1.-],1.1.1.-,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,"Alcohol dehydrogenase YqhD, Fe-dependent ADH family",COG1979,C,Energy production and conversion
K00101,L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],1.1.2.3,Oxidoreductases,Acting on the CH-OH group of donors,With a cytochrome as acceptor,"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase",COG1304,C,Energy production and conversion
K00102,D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4],1.1.2.4,Oxidoreductases,Acting on the CH-OH group of donors,With a cytochrome as acceptor,NA,NA,NA,NA
K00104,glycolate oxidase [EC:1.1.3.15],1.1.3.15,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,FAD/FMN-containing dehydrogenase,COG0277,C,Energy production and conversion
K00105,alpha-glycerophosphate oxidase [EC:1.1.3.21],1.1.3.21,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,Glycerol-3-phosphate dehydrogenase,COG0578,C,Energy production and conversion
K00108,choline dehydrogenase [EC:1.1.99.1],1.1.99.1,Oxidoreductases,Acting on the CH-OH group of donors,With other acceptors,Choline dehydrogenase or related flavoprotein,COG2303,I,Lipid metabolism
K00111,glycerol-3-phosphate dehydrogenase [EC:1.1.5.3],1.1.5.3,Oxidoreductases,Acting on the CH-OH group of donors,With a quinone or similar compound as acceptor,Glycerol-3-phosphate dehydrogenase,COG0578,C,Energy production and conversion
K00112,glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3],1.1.5.3,Oxidoreductases,Acting on the CH-OH group of donors,With a quinone or similar compound as acceptor,Anaerobic glycerol-3-phosphate dehydrogenase,COG3075,E,Amino Acid metabolis and transport
K00113,glycerol-3-phosphate dehydrogenase subunit C,NA,NA,NA,NA,Fe-S oxidoreductase,COG0247,C,Energy production and conversion
K00114,alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],1.1.2.8,Oxidoreductases,Acting on the CH-OH group of donors,With a cytochrome as acceptor,Glucose dehydrogenase,COG4993,G,Carbohydrate metabolism and transport
K00116,malate dehydrogenase (quinone) [EC:1.1.5.4],1.1.5.4,Oxidoreductases,Acting on the CH-OH group of donors,With a quinone or similar compound as acceptor,L-2-hydroxyglutarate oxidase LhgO,COG0579,G,Carbohydrate metabolism and transport
K00117,quinoprotein glucose dehydrogenase [EC:1.1.5.2],1.1.5.2,Oxidoreductases,Acting on the CH-OH group of donors,With a quinone or similar compound as acceptor,Glucose dehydrogenase,COG4993,G,Carbohydrate metabolism and transport
K00119,alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36],1.1.99.36,Oxidoreductases,Acting on the CH-OH group of donors,With other acceptors,Zn-dependent alcohol dehydrogenase,COG1062,R,General Functional Prediction only
K00120,F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-],1.1.98.-,Oxidoreductases,Acting on the CH-OH group of donors,"With other, known, acceptors","Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)",COG2141,H,Coenzyme metabolis
K00121,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],1.1.1.284,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Zn-dependent alcohol dehydrogenase,COG1062,R,General Functional Prediction only
K00122,formate dehydrogenase [EC:1.17.1.9],1.17.1.9,Oxidoreductases,Acting on CH or CH(2) groups,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
