GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K00001,1388,1577,1384,1428,1468,1300,2202,2271,1204,2553,1617,1773,4302,2291,2095,1617,1396,1794,1903,1538,1429,1609,1335,1455
KO:K00002,3378,2494,4745,1145,4127,1949,2614,5501,4088,1458,6347,1979,984,2692,2796,520,2207,986,1422,1591,4534,1003,6067,2980
KO:K00003,914,931,2755,857,1126,968,1045,1029,1890,1881,1226,1416,1083,957,2045,516,826,715,739,577,1867,870,758,861
KO:K00005,1404,1054,1843,1545,701,1211,1369,1547,1428,3489,1100,1900,1916,1548,1822,1217,619,1281,1233,678,1376,1423,779,1439
KO:K00007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
KO:K00008,488,765,557,592,491,520,670,834,589,562,508,506,691,829,1081,418,1296,540,317,766,537,646,588,544
KO:K00009,188,70,246,202,107,153,208,72,201,701,180,331,437,71,236,152,92,155,176,45,217,161,154,166
KO:K00010,507,179,446,287,257,209,658,255,640,1813,548,730,992,227,401,197,140,323,320,89,303,249,288,464
KO:K00011,54,3,22,0,1,7,109,5,45,0,6,8,24,6,0,1,1,0,31,1,6,1,8,5
KO:K00012,1698,2434,1279,2012,1727,2000,2473,4472,1132,2422,2625,2604,4346,2708,2157,2209,1981,2419,1676,2182,1656,1643,1995,2264
KO:K00013,914,1220,1465,958,1367,1000,1410,1533,980,1345,1399,1162,3005,1723,1751,1639,1501,1539,1025,1100,1386,1193,1033,987
KO:K00014,702,935,2325,784,887,880,896,1458,1090,1241,970,1005,1667,1145,1724,639,873,1120,861,813,1492,888,667,840
KO:K00015,139,84,325,122,6,326,124,87,347,189,22,474,179,57,100,71,6,139,130,45,119,81,7,138
KO:K00016,3897,3824,17164,2392,2422,2996,2680,5609,7759,5065,2839,3379,3564,7124,9070,2026,4032,3172,2532,3074,11704,2434,2124,3384
KO:K00018,718,1501,924,744,1910,1151,971,1182,522,1273,1090,795,2123,1651,971,1246,2059,2031,1147,981,992,965,1007,829
KO:K00019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
