"time","pH"
864030,6.883
864090,6.8835
864150,6.88366666666667
864210,6.884
864270,6.88454545454545
864330,6.8845
864390,6.88533333333333
864450,6.8855
864510,6.88633333333333
864570,6.88666666666667
864630,6.88757142857143
864690,6.8875
864750,6.8885
864810,6.889
864870,6.88966666666667
864930,6.8905
864990,6.8905
865050,6.8915
865110,6.8925
865170,6.8925
865230,6.8934
865290,6.89366666666667
865350,6.8944
865410,6.89457142857143
865470,6.8955
865530,6.8965
865590,6.89666666666667
865650,6.8976
865710,6.89833333333333
865770,6.899
865830,6.8996
865890,6.9005
865950,6.9005
866010,6.9005
866070,6.8985
866130,6.89457142857143
866190,6.89083333333333
866250,6.888
866310,6.886
866370,6.8848
866430,6.8845
866490,6.8836
866550,6.8834
866610,6.8825
866670,6.88233333333333
866730,6.8825
866790,6.8825
866850,6.8825
866910,6.88266666666667
866970,6.8825
867030,6.883
867090,6.8835
867150,6.8835
867210,6.88433333333333
867270,6.8845
867330,6.88525
867390,6.886
867450,6.88566666666667
867510,6.88666666666667
867570,6.8865
867630,6.887
867690,6.88755555555556
867750,6.888
867810,6.88855555555556
867870,6.8895
867930,6.89033333333333
867990,6.891
868050,6.89133333333333
868110,6.892
868170,6.89255555555556
868230,6.893
868290,6.8935
868350,6.89433333333333
868410,6.89466666666667
868470,6.8955
868530,6.896
868590,6.89666666666667
868650,6.89733333333333
868710,6.89766666666667
868770,6.898
868830,6.899
868890,6.89957142857143
868950,6.9005
869010,6.901
869070,6.9008
869130,6.8986
869190,6.894
869250,6.89
869310,6.88833333333333
869370,6.8865
869430,6.88563636363636
869490,6.88433333333333
869550,6.8845
869610,6.884
869670,6.88366666666667
869730,6.8835
869790,6.8835
869850,6.8835
869910,6.884
869970,6.884
870030,6.88433333333333
870090,6.8845
870150,6.88457142857143
870210,6.885
870270,6.8854
870330,6.88554545454546
870390,6.8865
870450,6.88655555555556
870510,6.88733333333333
870570,6.88757142857143
870630,6.88866666666667
870690,6.889
870750,6.88966666666667
870810,6.8904
870870,6.891
870930,6.89166666666667
870990,6.8925
871050,6.8925
871110,6.89333333333333
871170,6.894
871230,6.89457142857143
871290,6.895
871350,6.8955
871410,6.896
871470,6.89655555555555
871530,6.8975
871590,6.8975
871650,6.8985
871710,6.8995
871770,6.8995
871830,6.9005
871890,6.9005
871950,6.9005
872010,6.898
872070,6.8955
872130,6.891
872190,6.8895
872250,6.887
872310,6.88633333333333
872370,6.885
872430,6.88442857142857
872490,6.884
872550,6.8834
872610,6.8835
872670,6.88333333333333
872730,6.8835
872790,6.8836
872850,6.8834
872910,6.88366666666667
872970,6.88344444444444
873030,6.88357142857143
873090,6.884
873150,6.8844
873210,6.88466666666667
873270,6.885
873330,6.8856
873390,6.8855
873450,6.886
873510,6.88657142857143
873570,6.887
873630,6.8875
873690,6.88833333333333
873750,6.8885
873810,6.889
873870,6.88955555555556
873930,6.89
873990,6.89055555555556
874050,6.891
874110,6.89157142857143
874170,6.89233333333333
874230,6.8926
874290,6.8935
874350,6.89433333333333
874410,6.8946
874470,6.8955
874530,6.89633333333333
874590,6.8966
874650,6.8975
874710,6.898
874770,6.89857142857143
874830,6.8995
874890,6.9005
874950,6.901
875010,6.9015
875070,6.9005
875130,6.897
875190,6.89375
875250,6.89
875310,6.8875
875370,6.88616666666667
875430,6.88471428571429
875490,6.88383333333333
875550,6.88342857142857
875610,6.88266666666667
875670,6.88233333333333
875730,6.88233333333333
875790,6.882
875850,6.8815
875910,6.8815
875970,6.8815
876030,6.88142857142857
876090,6.8815
876150,6.88166666666667
876210,6.882
876270,6.88233333333333
876330,6.88266666666667
876390,6.8825
876450,6.883
876510,6.8835
876570,6.8835
876630,6.8844
876690,6.88455555555555
876750,6.885
876810,6.88533333333333
876870,6.8856
876930,6.8865
876990,6.8865
877050,6.8875
877110,6.888
877170,6.8886
877230,6.8895
877290,6.89
877350,6.89057142857143
877410,6.89155555555556
877470,6.8925
877530,6.8934
877590,6.89366666666667
877650,6.8945
877710,6.895
877770,6.8956
877830,6.89666666666667
877890,6.897
877950,6.89766666666667
878010,6.89833333333333
878070,6.899
878130,6.89957142857143
878190,6.9005
878250,6.90066666666667
878310,6.90033333333333
878370,6.898
878430,6.8945
878490,6.8912
878550,6.8889
878610,6.88771428571429
