"Parameter","coord","covariate","p2.5","p25","p50","mean","p75","p97.5"
"Lambda","clr_ASV_1","AR_d1",-0.568008769269395,-0.0161463355140709,0.27088123486711,0.273296905524844,0.547166782075733,1.09758697888587
"Lambda","clr_ASV_1","AR_d2",-1.02790007864806,-0.467156571755381,-0.199510595780395,-0.199594408110937,0.0802100816693594,0.588112561143589
"Lambda","clr_ASV_1","AR_e1",-0.962354757024144,-0.520707558461286,-0.292157728625526,-0.297252661348642,-0.0776104185955386,0.360892720751615
"Lambda","clr_ASV_1","AR_e2",-0.76990033890192,-0.359977912775318,-0.128866177780816,-0.128705387957698,0.0940642592351562,0.570471520726129
"Lambda","clr_ASV_10","AR_d1",-0.41942869118876,-0.0236084970100655,0.20727268824191,0.21124436433555,0.441342761762201,0.872055121490979
"Lambda","clr_ASV_10","AR_d2",-0.908877565427728,-0.484662559665201,-0.260165393227633,-0.266234460344304,-0.0413125631654689,0.316353659026507
"Lambda","clr_ASV_10","AR_e1",-1.31643864619084,-0.960885716278945,-0.791792763012023,-0.787880023349725,-0.609064491700119,-0.265688739308811
"Lambda","clr_ASV_10","AR_e2",-1.17730539838954,-0.831792256542807,-0.651322552886593,-0.650413728261195,-0.473973238278859,-0.125518107066846
"Lambda","clr_ASV_100","AR_d1",-0.36786405305272,0.572119199082406,1.111995713169,1.09571866843376,1.60963183472425,2.57741778151
"Lambda","clr_ASV_100","AR_d2",-2.1318852234722,-1.19040349383088,-0.713795961162709,-0.705637773121719,-0.203710816967932,0.700629642594476
"Lambda","clr_ASV_100","AR_e1",-2.21994999067601,-1.34687203094022,-0.932676685288784,-0.936755361728507,-0.500873622379472,0.273715273000042
"Lambda","clr_ASV_100","AR_e2",-2.4751495612322,-1.63537869194533,-1.21770803370727,-1.21095546034335,-0.781889159120042,0.0661516035145711
"Lambda","clr_ASV_101","AR_d1",-1.61129130699926,-0.562440235843229,-0.0886017197075654,-0.0864362811188865,0.435318838364114,1.39975960348847
"Lambda","clr_ASV_101","AR_d2",-1.82787876398179,-0.807253447875802,-0.353674105756858,-0.343313952032488,0.15531380340496,1.09646320479018
"Lambda","clr_ASV_101","AR_e1",-3.40609934268346,-2.55790760702495,-2.14649665246121,-2.1404141328471,-1.70894180882413,-0.879876910872297
"Lambda","clr_ASV_101","AR_e2",-3.09685156774147,-2.18392060337246,-1.77040487579301,-1.76116270089071,-1.32339306427429,-0.507816834808578
"Lambda","clr_ASV_102","AR_d1",-1.05689540727528,-0.168189883636172,0.251055178365018,0.257662160327165,0.691302323704213,1.56890440935114
"Lambda","clr_ASV_102","AR_d2",-1.86030680347484,-0.979984603787037,-0.543629375483297,-0.558548123764952,-0.135848124658837,0.685079498754768
"Lambda","clr_ASV_102","AR_e1",-1.05060247215011,-0.352238127954506,0.030311889625087,0.0141829478788725,0.379988765498971,1.0282348311661
"Lambda","clr_ASV_102","AR_e2",-1.11615854194535,-0.397838048501569,-0.0244997873193363,-0.0200388211865642,0.370045751187366,1.0712072155633
"Lambda","clr_ASV_103","AR_d1",-0.896963464645942,-0.165427281369264,0.186187115696932,0.188453717118752,0.548381382063272,1.216931031896
"Lambda","clr_ASV_103","AR_d2",-1.65141868714437,-0.920586255559378,-0.590424961953189,-0.584841188621526,-0.246544924417165,0.442258151665434
"Lambda","clr_ASV_103","AR_e1",-0.797566508184219,-0.194223055964219,0.0851499022300325,0.0834756867974475,0.367806273190796,0.943723396196302
"Lambda","clr_ASV_103","AR_e2",-1.22997543376172,-0.615963391121561,-0.295898562607314,-0.296723800911734,0.0354782692371417,0.59257123793142
"Lambda","clr_ASV_105","AR_d1",-1.3492493095565,-0.433430837005087,0.0592302919347601,0.037108279340922,0.500836390156702,1.39872905888294
"Lambda","clr_ASV_105","AR_d2",-1.74495281771613,-0.831975095223953,-0.389173639993444,-0.387784310860637,0.0515464378032204,0.99187517816513
"Lambda","clr_ASV_105","AR_e1",-2.03402902113684,-1.29605964116351,-0.932405584187733,-0.932540441519983,-0.561244180652332,0.123346845104555
"Lambda","clr_ASV_105","AR_e2",-1.41057757617663,-0.65305329049499,-0.275567921554296,-0.267376135994782,0.118124211810046,0.90176580568595
"Lambda","clr_ASV_106","AR_d1",-0.89622137045648,-0.318949526263112,-0.0238904254020389,-0.0265558288580345,0.273083492521953,0.843684121470401
"Lambda","clr_ASV_106","AR_d2",-1.89765144218845,-1.28906456475859,-0.981298913307841,-0.991657549929866,-0.691347336499179,-0.142400094612232
"Lambda","clr_ASV_106","AR_e1",-1.61678644223834,-1.0988953946864,-0.847197825537037,-0.842986199102704,-0.575748877293092,-0.116888749352845
"Lambda","clr_ASV_106","AR_e2",-1.80177589380479,-1.29990400797922,-1.02713527748961,-1.03092911274021,-0.765053532502804,-0.282303784602053
"Lambda","clr_ASV_107","AR_d1",-1.02210615811382,0.245694557093379,0.815791099163376,0.821951973050851,1.44450690812721,2.56173980999145
"Lambda","clr_ASV_107","AR_d2",-1.92095465399687,-0.766031158125674,-0.210808431917195,-0.1922705112533,0.389829093097241,1.50735761651838
"Lambda","clr_ASV_107","AR_e1",-3.19102723623641,-2.176588240981,-1.66465198473005,-1.68564242101226,-1.18234475919903,-0.232318807462774
"Lambda","clr_ASV_107","AR_e2",-2.84955767667728,-1.76920633044889,-1.26221347292259,-1.26940964526425,-0.761826933585827,0.271852097528761
"Lambda","clr_ASV_109","AR_d1",-0.804826538094993,-0.279972764808944,-0.000788953219902414,-0.00784759931885834,0.250289473546198,0.793220401676581
"Lambda","clr_ASV_109","AR_d2",-0.998737301282701,-0.486413293149402,-0.208180379734793,-0.210105903733546,0.0651008947124814,0.576376154810307
"Lambda","clr_ASV_109","AR_e1",-0.92545303040753,-0.467221153661591,-0.235760798807285,-0.225485272632534,0.00782001476909739,0.477234150415153
"Lambda","clr_ASV_109","AR_e2",-1.20820427317895,-0.744686348494527,-0.510691862030114,-0.50512563057375,-0.267296331674926,0.236237819579506
"Lambda","clr_ASV_11","AR_d1",-0.777271167620248,-0.196147614476021,0.0783525041570323,0.0757786398280325,0.357481418408541,0.868209309088028
"Lambda","clr_ASV_11","AR_d2",-1.15689087217178,-0.617370136482165,-0.369130339941183,-0.369820563891915,-0.112690174521059,0.408738329708307
"Lambda","clr_ASV_11","AR_e1",-1.20895473090602,-0.800208175643128,-0.604559276065385,-0.601031889561104,-0.396399581789304,0.0178986665104955
"Lambda","clr_ASV_11","AR_e2",-1.25902206513888,-0.801488822558305,-0.582201038338742,-0.582241654583938,-0.368847117812978,0.0903493104503907
"Lambda","clr_ASV_110","AR_d1",-1.4886405911259,-0.608372622873164,-0.148230867487276,-0.166349746689238,0.304228636859505,1.10004076847059
"Lambda","clr_ASV_110","AR_d2",-1.05624902652831,-0.250389111556257,0.156092566323605,0.152785947768899,0.561906123322654,1.37840330097536
"Lambda","clr_ASV_110","AR_e1",-1.18110042232427,-0.521681841738391,-0.154975059844215,-0.142477369131642,0.196994221544003,1.01231023087166
"Lambda","clr_ASV_110","AR_e2",-0.27582149200457,0.458174494340402,0.83521312683184,0.85771048767166,1.24358281971803,2.08971577748422
"Lambda","clr_ASV_111","AR_d1",-1.63501048011353,-0.641444547853055,-0.137990073965451,-0.136603733393002,0.362830068335566,1.36227293800791
"Lambda","clr_ASV_111","AR_d2",-1.12365520143031,-0.215534055440427,0.265027736522155,0.274919088542329,0.758615435502651,1.71399502017343
"Lambda","clr_ASV_111","AR_e1",0.464130768716955,1.27761037007694,1.6698711471972,1.6883875330406,2.09300852774735,2.92091680804953
"Lambda","clr_ASV_111","AR_e2",-0.73102498882566,0.0923406590732575,0.524454965983817,0.541934956953572,0.998198427136304,1.84225774389608
"Lambda","clr_ASV_114","AR_d1",-1.89910173228303,-0.971664341043443,-0.463137121971186,-0.462664725210067,0.0245187245876881,1.02964620500663
"Lambda","clr_ASV_114","AR_d2",-1.568179103742,-0.677438020927949,-0.186464703383405,-0.173188023381716,0.288069289132936,1.30131161852352
"Lambda","clr_ASV_114","AR_e1",0.294146043765034,1.09541533594105,1.50658235087605,1.51705348133171,1.92942494861114,2.84514826470429
"Lambda","clr_ASV_114","AR_e2",-1.19009410085863,-0.387530991887837,0.0801553098290617,0.0888320380927852,0.51956602328284,1.48846935769916
"Lambda","clr_ASV_117","AR_d1",-0.845520872149768,-0.306008041478861,-0.0234110150457513,-0.0335791953094615,0.234739088588723,0.711250730958115
